comparison_id,domain,left_mention_id,right_mention_id,selection,source_candidate_id,left_paper_id,left_raw_phrase,left_proposed_semantic_role,left_quote,right_paper_id,right_raw_phrase,right_proposed_semantic_role,right_quote,proposed_relation,model_reason,evidence_scope,annotation_status,merge_applied,human_decision,human_reason
N0001,TG,TG:P0086:n4,TG:P0202:n3,same_label_context_review,,P0086,Delta T,quantity,"The presence of natural convection can effectively enhance the heat transfer and mass transport in LTCs, but to some extent induce a significant decrease in Delta T from 10.9 K to 5.9 K due to the increase in effective thermal conductivity from 0.59 to 2.17 W/(m & sdot;K).",P0202,Delta T,quantity,"Harvesting heat or solar energy to directly generate affordable and sustainable electricity holds great promise toward both fundamental science and practical applications in self-powered wearable electronics. However, solar thermoelectric (STE) devices remain challenging in establishing a stable and significant temperature gradient (Delta T) across thermoelectric materials for cost-effective electricity generation. Herein, a wearable STE generator with all-weather and high-performance electricity generation was elaborately designed and synthesized sandwiched by a thermogalvanic cell and a large-area nanofiber membrane of Cs0.32WO3 (CWO) nanoparticles with strong near-infrared (NIR) absorption. These prepared CWO membranes, which were prepared via an electrostatic spinning technique, present a high photothermal conversion efficiency of 42.7 % with no degradation after running for 10 cycles. Notably, a significant Delta T of 31.5 K across the thermoelectric modular was achieved for STE generation via the thermal concentration of these photothermal membranes under natural sunlight. Owing to the high thermopower of 2.87 mV K-1 for each p-n pair, STE generation demonstrates a maximum output voltage of 200 mV under natural solar irradiance during the time period of noon. This work explores a new strategy to achieve efficient heat management of STE devices for high electricity generation under all-weather conditions, which demonstrates great potential for self-powered wearable electronics.",equivalent_to,两侧 Delta T 均为跨热电单元的温差；共享温差量概念，几何、加热方式与数值观测保留。,node_containing_sentences_from_original_quote,model_proposed_pending_human,False,,
N0002,TG,TG:P0254:n3,TG:P0253:n4,same_label_context_review,,P0254,Rct,quantity,The addition of NaClO4 instead of Fe(ClO4)2/Fe(ClO4)3 decreases Rs while increasing Rct and Rdif.,P0253,Rct,quantity,"We found that Rdif decreases rapidly as the angular velocity w increased, while Rs and Rct were independent on w. This is basically because the convective mass transfer complements the diffusive mass transfer.",equivalent_to,两篇完整摘要均明确定义 Rct 为 charge-transfer resistance；仅归一化阻抗分量名称。,full_abstract_and_quote,model_proposed_pending_human,False,,
N0003,TG,TG:P0254:n4,TG:P0253:n2,same_label_context_review,,P0254,Rdif,quantity,The addition of NaClO4 instead of Fe(ClO4)2/Fe(ClO4)3 decreases Rs while increasing Rct and Rdif.,P0253,Rdif,quantity,"We found that Rdif decreases rapidly as the angular velocity w increased, while Rs and Rct were independent on w. This is basically because the convective mass transfer complements the diffusive mass transfer.",equivalent_to,两篇完整摘要均明确定义 Rdif 为 diffusion resistance；不是扩散系数。,full_abstract_and_quote,model_proposed_pending_human,False,,
N0004,TG,TG:P0254:n2,TG:P0253:n3,same_label_context_review,,P0254,Rs,quantity,The addition of NaClO4 instead of Fe(ClO4)2/Fe(ClO4)3 decreases Rs while increasing Rct and Rdif.,P0253,Rs,quantity,"We found that Rdif decreases rapidly as the angular velocity w increased, while Rs and Rct were independent on w. This is basically because the convective mass transfer complements the diffusive mass transfer.",equivalent_to,两篇完整摘要均明确定义 Rs 为 solution resistance；保留溶剂与电解质条件。,full_abstract_and_quote,model_proposed_pending_human,False,,
N0005,TG,TG:P0247:n3,TG:P0080:n3,same_label_context_review,,P0247,Seebeck coefficient,performance_function,Mechanistic studies reveal that optimized ionic interactions enhance thermal diffusion and elevate the Seebeck coefficient to 4.1 mV K-1.,P0080,Seebeck coefficient,performance_function,"The synergistic interplay of ion thermodiffusion (Bmim+/H2PO4- ) and thermogalvanic effect (Fe2+/Fe3+) yielded a high n-type Seebeck coefficient of -6.50 mV center dot K- 1, enabling efficient heatto-electric conversion (76.1 mV, 144.3 nW at Delta T = 12 K).",uncertain,锚点 P0247 摘要描述离子热扩散响应，其余同名系数涉及红氧化还原或混合机制，不能仅凭同名认定物理定义与贡献相同。,full_abstract_and_quote,model_proposed_pending_human,False,,
N0006,TG,TG:P0247:n3,TG:P0079:n1,same_label_context_review,,P0247,Seebeck coefficient,performance_function,Mechanistic studies reveal that optimized ionic interactions enhance thermal diffusion and elevate the Seebeck coefficient to 4.1 mV K-1.,P0079,Seebeck coefficient,performance_function,"The high Seebeck coefficient of the material enabled sensitive heat-flux transduction, extending its functionality beyond single-point detection to spatially resolved thermal mapping.",uncertain,锚点 P0247 摘要描述离子热扩散响应，其余同名系数涉及红氧化还原或混合机制，不能仅凭同名认定物理定义与贡献相同。,full_abstract_and_quote,model_proposed_pending_human,False,,
N0007,TG,TG:P0247:n3,TG:P0225:n3,same_label_context_review,,P0247,Seebeck coefficient,performance_function,Mechanistic studies reveal that optimized ionic interactions enhance thermal diffusion and elevate the Seebeck coefficient to 4.1 mV K-1.,P0225,Seebeck coefficient,performance_function,"Taking advantage of the synergetic thermodiffusive and thermogalvanic effects of various ion species in NiV14 solution, an open circuit voltage of approximately 0.45 V was obtained at Delta T=70 K generated by physical heating or NIR irradiation, indicating a large Seebeck coefficient of 6.38 mV K-1 and an optimized thermal power at 1.2 W m(-2).",uncertain,锚点 P0247 摘要描述离子热扩散响应，其余同名系数涉及红氧化还原或混合机制，不能仅凭同名认定物理定义与贡献相同。,full_abstract_and_quote,model_proposed_pending_human,False,,
N0008,TG,TG:P0247:n3,TG:P0005:n2,same_label_context_review,,P0247,Seebeck coefficient,performance_function,Mechanistic studies reveal that optimized ionic interactions enhance thermal diffusion and elevate the Seebeck coefficient to 4.1 mV K-1.,P0005,Seebeck coefficient,performance_function,"Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation.",uncertain,锚点 P0247 摘要描述离子热扩散响应，其余同名系数涉及红氧化还原或混合机制，不能仅凭同名认定物理定义与贡献相同。,full_abstract_and_quote,model_proposed_pending_human,False,,
N0009,TG,TG:P0247:n3,TG:P0027:n3,same_label_context_review,,P0247,Seebeck coefficient,performance_function,Mechanistic studies reveal that optimized ionic interactions enhance thermal diffusion and elevate the Seebeck coefficient to 4.1 mV K-1.,P0027,Seebeck coefficient,performance_function,"Moreover, guanidium chloride (GdmCl) salts are directly introduced into the TGCs to enhance the Seebeck coefficient via ioninduced crystallization in the p-type FeCN 6 3 - /FeCN 6 4 - redox system.",uncertain,锚点 P0247 摘要描述离子热扩散响应，其余同名系数涉及红氧化还原或混合机制，不能仅凭同名认定物理定义与贡献相同。,full_abstract_and_quote,model_proposed_pending_human,False,,
N0010,TG,TG:P0247:n3,TG:P0029:n3,same_label_context_review,,P0247,Seebeck coefficient,performance_function,Mechanistic studies reveal that optimized ionic interactions enhance thermal diffusion and elevate the Seebeck coefficient to 4.1 mV K-1.,P0029,Seebeck coefficient,performance_function,Our approach parametrizes the Seebeck coefficient by leveraging the strong correlation between DFT-derived ion-solvent interaction features and limited experimental data.,uncertain,锚点 P0247 摘要描述离子热扩散响应，其余同名系数涉及红氧化还原或混合机制，不能仅凭同名认定物理定义与贡献相同。,full_abstract_and_quote,model_proposed_pending_human,False,,
