program_id,program_rule_code,program_title_cn,source_insight_id,source_paper_id,source_year,source_title,source_doi,source_evidence_tier,source_evidence_level,source_hypothesis_lane,source_scope_route,source_lever_codes,source_levers_cn,source_claim,source_intervention_evidence,source_mechanism_evidence,source_outcome_evidence,target_paper_id,target_title,target_material,target_mechanism,edge_type,mapping_basis,rule_match_locations,match_location,rule_match_support_class,scope_caveat,direction_conflict,manual_review_reason,manual_review_recommended,evidence_edge_status,claim_direct_rule_match,rule_match_verified
PRG_0d4cbb7dc34c,anion_entanglement_fe_supporting_ion,用阴离子缠结调节 Fe2+/Fe3+ TG 的支持离子热扩散项,INSIGHT_59451FC5E1,P1143,2023,Anionic entanglement-induced giant thermopower in ionic thermoelectric material Gelatin-CF3SO3K-CH3SO3K,10.1016/j.esci.2023.100169,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,anion_entanglement; thermodiffusion_or_soret,阴离子缠结; 热扩散/Soret,"entanglement between CF3SO3- and CH3SO3- slows anion thermodiffusion, suppresses bipolar effects, and boosts p-type thermopower","Here, we introduced a new strategy that employs an ion entanglement effect.","The anionic entanglement effect involves complex interactions between these two anions, slowing anionic thermodiffusion and thus suppressing bipolar effects and boosting p-type thermopower.",A giant thermopower of 28 mV K-1 was obtained in a quasi-solid-state i-TE Gelatin-CF3SO3K-CH3SO3K gel via entanglement between CF3SO3- and CH3SO3- anions.,P0002,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system",weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling,iTE_lever_complements_TG_system,curated_rule:anion_entanglement_fe_supporting_ion; no semantic-similarity inference,claim; outcome,claim; outcome,claim_direct_support,,False,,False,accepted_claim_direct,True,True
PRG_88a7efad7dbd,manning_condensation_ferricyanide,测试多阳离子链的 Manning 凝聚能否区分 3−/4− 红氧阴离子,INSIGHT_39CF2C90B3,P0344,2025,High-performance ionic thermoelectric hydrogels via electrohydrodynamic printing for self-powered wearable sensors,10.1016/j.colsurfa.2025.138182,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,counterion_condensation,Manning 反离子凝聚,"electronegative CMC-Na induces Manning counterion condensation, improving selective ion migration and Seebeck coefficient","I-TEH was constructed with an interpenetrating network of PVA and CMC-Na, using NaTFSI as the mobile ions to promote thermal diffusion.","The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.","The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.",P0018,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,sodium ferrocyanide/ferricyanide thermogalvanic electrolyte with ethanol solvent regulator,"ethanol modifies concentration gradient and solvation structure, raising temperature coefficient and extending low-temperature operating range",iTE_lever_complements_TG_system,curated_rule:manning_condensation_ferricyanide; no semantic-similarity inference,claim; mechanism; outcome,claim; mechanism; outcome,claim_direct_support,,False,,False,accepted_claim_direct,True,True
PRG_88a7efad7dbd,manning_condensation_ferricyanide,测试多阳离子链的 Manning 凝聚能否区分 3−/4− 红氧阴离子,INSIGHT_AF8759DE1B,P0555,2023,Stretchable polyvinyl alcohol and sodium alginate double network ionic hydrogels for low-grade heat harvesting with ultrahigh thermopower,10.1016/j.mtener.2023.101383,B_direct_needs_evidence_repair,E2_mechanism_and_outcome_exact_needs_repair,H2_repair_then_test,core_iTE,counterion_condensation,Manning 反离子凝聚,SA-induced Manning counterion condensation and crystalline PVA chains synergistically produce ultrahigh ionic Seebeck coefficient,"Recently, employing ionic thermoelectric (i-TE) materials is regarded as a promising strategy to harness low-grade waste heat due to their remarkable ionic Seebeck coefficient.",These outstanding performances originate from the synergistic effect of Manning's counterion condensation facilitated by SA and the crystal PVA chains.,"Moreover, PVA/SA/PEG/NaBF4-1.5 M hydrogel exhibits a high ionic conductivity of 31.4 mS/cm, a maximum ionic Seebeck coefficient of 66.7 mV/K, and an impressive power factor of 13.96 mW/m/K-2.",P0018,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,sodium ferrocyanide/ferricyanide thermogalvanic electrolyte with ethanol solvent regulator,"ethanol modifies concentration gradient and solvation structure, raising temperature coefficient and extending low-temperature operating range",iTE_lever_complements_TG_system,curated_rule:manning_condensation_ferricyanide; no semantic-similarity inference,claim; mechanism,claim; mechanism,claim_direct_support,,False,,False,accepted_claim_direct,True,True
PRG_88a7efad7dbd,manning_condensation_ferricyanide,测试多阳离子链的 Manning 凝聚能否区分 3−/4− 红氧阴离子,INSIGHT_0A0CF05C12,P0401,2025,Thermoelectric Ionic Hydrogel Based on PEDOT:PSS/PAAm for Low-Grade Thermal-Energy Harvesting,10.1021/acsaelm.5c00195,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,counterion_condensation,Manning 反离子凝聚,"PEDOT:PSS acts as n-type dopant and induces counterion condensation, immobilizing cations and increasing ion thermal-migration disparity","In order to enhance the thermopower in this study, we employed PEDOT:PSS as an n-type dopant in PAAm hydrogels to induce counterion condensation.","In order to enhance the thermopower in this study, we employed PEDOT:PSS as an n-type dopant in PAAm hydrogels to induce counterion condensation.",The experimental results showed that the PEDOT:PSS/PAAm-based ionic hydrogel exhibited a high thermopower of -4.45 mV/K when the concentration of APS was 1 wt %.,P0018,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,sodium ferrocyanide/ferricyanide thermogalvanic electrolyte with ethanol solvent regulator,"ethanol modifies concentration gradient and solvation structure, raising temperature coefficient and extending low-temperature operating range",iTE_lever_complements_TG_system,curated_rule:manning_condensation_ferricyanide; no semantic-similarity inference,claim; intervention; mechanism,claim; intervention; mechanism,claim_direct_support,,False,,False,accepted_claim_direct,True,True
PRG_e948eab97497,fixed_charge_iodide_separator,把固定正电荷通道与分子识别结合，做 I−/I3− TG 选择性隔层,INSIGHT_00403528BC,P0528,2025,Ion-selective transport in surface-modified cellulose membranes for aqueous ionic thermoelectrics,10.1039/d5ta05281e,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,fixed_charge_selectivity; thermodiffusion_or_soret,固定电荷/离子选择性; 热扩散/Soret,"surface charge engineering increases fixed charge density and ion selectivity, enhancing thermodiffusion-driven ion transport","These modifications significantly increased the fixed surface charge density, promoting ion selectivity and enabling efficient ion transport under a thermal gradient.","These modifications significantly increased the fixed surface charge density, promoting ion selectivity and enabling efficient ion transport under a thermal gradient.","Correspondingly, ionic conductivity increased by up to 950-fold, with an ionic thermoelectric power factor of 1.38 mu W m-1 K-2.",P0008,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,PVA hydrogel with I-/I3- redox couple and zwitterions,thermogalvanic redox conversion plus piezoresistive gel response enables self-powered temperature and strain sensing; zwitterions improve dehydration/cold resistance,iTE_lever_complements_TG_system,curated_rule:fixed_charge_iodide_separator; no semantic-similarity inference,claim; intervention; mechanism,claim; intervention; mechanism,claim_direct_support,,False,,False,accepted_claim_direct,True,True
PRG_e948eab97497,fixed_charge_iodide_separator,把固定正电荷通道与分子识别结合，做 I−/I3− TG 选择性隔层,INSIGHT_43541829DD,P0364,2025,P-N Series Integrated Ionic Thermoelectric Generator Based on Cation/Anion-Selective Hydrogels for Body Heat Harvesting,10.1002/smll.202502884,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,fixed_charge_selectivity,固定电荷/离子选择性,"anion/cation-selective polymer networks attract counterions and regulate ion thermal mobility, enhancing or changing Seebeck coefficient for series-integrated p/n i-TEGs","This work opens a new horizon for obtaining high-performance i-TEGs through ion mobility regulation by ion-selective hydrogels, and highlights the prospect of P-N series integrated i-TEGs from hydrogels for body heat harvesting.","This work opens a new horizon for obtaining high-performance i-TEGs through ion mobility regulation by ion-selective hydrogels, and highlights the prospect of P-N series integrated i-TEGs from hydrogels for body heat harvesting.","By connecting 12 pairs of the P-type and N-type i-TEGs, a voltage of 1.54 V and an output power of 21 mu W can be achieved on the surface of the body skin.",P0008,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,PVA hydrogel with I-/I3- redox couple and zwitterions,thermogalvanic redox conversion plus piezoresistive gel response enables self-powered temperature and strain sensing; zwitterions improve dehydration/cold resistance,iTE_lever_complements_TG_system,curated_rule:fixed_charge_iodide_separator; no semantic-similarity inference,claim; intervention; mechanism,claim; intervention; mechanism,claim_direct_support,,False,,False,accepted_claim_direct,True,True
PRG_e948eab97497,fixed_charge_iodide_separator,把固定正电荷通道与分子识别结合，做 I−/I3− TG 选择性隔层,INSIGHT_760ADBBB23,P0696,2023,Giant Negative Thermopower Enabled by Bidirectionally Anchored Cations in Multifunctional Polymers,10.1021/acsami.3c03143,C_adjacent_enabling_evidence,E3_mechanism_and_outcome_exact,H1_evidence_ready,adjacent_enabling,fixed_charge_selectivity; coordination_or_ion_pairing,固定电荷/离子选择性; 配位/离子对,"copper-coordinated chitosan confines cations, polycation electrolyte repels cations, and [CuCl4]2- configuration yields giant negative thermopower","The confinement effect of copper-coordinated chitosan on cations, the repulsive property of the polycationic electrolyte on cations, and the unique chemical configuration of a transition metal chloride anion ([CuCl4]2-) are the fundamental guarantees for achieving a thermopower of -28.4 mV center dot K-1.","The confinement effect of copper-coordinated chitosan on cations, the repulsive property of the polycationic electrolyte on cations, and the unique chemical configuration of a transition metal chloride anion ([CuCl4]2-) are the fundamental guarantees for achieving a thermopower of -28.4 mV center dot K-1.","The confinement effect of copper-coordinated chitosan on cations, the repulsive property of the polycationic electrolyte on cations, and the unique chemical configuration of a transition metal chloride anion ([CuCl4]2-) are the fundamental guarantees for achieving a thermopower of -28.4 mV center dot K-1.",P0008,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,PVA hydrogel with I-/I3- redox couple and zwitterions,thermogalvanic redox conversion plus piezoresistive gel response enables self-powered temperature and strain sensing; zwitterions improve dehydration/cold resistance,iTE_lever_complements_TG_system,curated_rule:fixed_charge_iodide_separator; no semantic-similarity inference,claim; intervention; mechanism; outcome,claim; intervention; mechanism; outcome,claim_direct_support,,False,,False,accepted_claim_direct,True,True
PRG_e948eab97497,fixed_charge_iodide_separator,把固定正电荷通道与分子识别结合，做 I−/I3− TG 选择性隔层,INSIGHT_8D39BEA40A,P0360,2025,Ionic thermoelectric osmotic energy conversion for harvesting low-grade waste heat from electronic heat sink,10.1016/j.energy.2025.138825,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,fixed_charge_selectivity; ph_or_protonation_switch; oriented_or_confined_channels; photothermal_or_heat_management,固定电荷/离子选择性; pH/质子化开关; 取向/限域离子通道; 光热/热管理,higher pH strengthens nanopore surface charge density and increases output power,Efficient utilization of low-grade waste heat generated from electronic device is synergistically beneficial for its thermal management and power supply.,"As the pH value of aqueous solution is increased from 3 to 11 under an electronic heat flux of 3000 W/m2, the output power density is enhanced from 46.91 mW/m2 to 83.01 mW/m2 with a stable ionic thermoelectric coefficient about 0.47 mV/K due to strengthened nanopore surface charge density.","As the pH value of aqueous solution is increased from 3 to 11 under an electronic heat flux of 3000 W/m2, the output power density is enhanced from 46.91 mW/m2 to 83.01 mW/m2 with a stable ionic thermoelectric coefficient about 0.47 mV/K due to strengthened nanopore surface charge density.",P0008,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,PVA hydrogel with I-/I3- redox couple and zwitterions,thermogalvanic redox conversion plus piezoresistive gel response enables self-powered temperature and strain sensing; zwitterions improve dehydration/cold resistance,iTE_lever_complements_TG_system,curated_rule:fixed_charge_iodide_separator; no semantic-similarity inference,claim; mechanism; outcome,claim; mechanism; outcome,claim_direct_support,,False,,False,accepted_claim_direct,True,True
PRG_e948eab97497,fixed_charge_iodide_separator,把固定正电荷通道与分子识别结合，做 I−/I3− TG 选择性隔层,INSIGHT_E0C19E1485,P1665,2022,Charge Regulation and pH Effects on Thermo-Osmotic Conversion,10.3390/nano12162774,C_adjacent_enabling_evidence,E3_mechanism_and_outcome_exact,H1_evidence_ready,adjacent_enabling,fixed_charge_selectivity; ph_or_protonation_switch; osmotic_or_concentration_gradient,固定电荷/离子选择性; pH/质子化开关; 渗透/浓度梯度,"surface charge regulation, pore structure, and pH alter Nernst-Planck-Poisson ion transport under thermal gradients, tuning thermo-osmotic Seebeck coefficient",,"In this paper, a numerical simulation based on the Nernst-Planck-Poisson equations, Navier-Stokes equations, and heat transfer equations is carried out to consider the effect of surface charge-regulation density and pH of KCl solutions on the Seebeck coefficient.",The results show that the highest ionic Seebeck coefficient of -0.64 mV/K is obtained at 10(-4) M KCl solution and pH 9.,P0008,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,PVA hydrogel with I-/I3- redox couple and zwitterions,thermogalvanic redox conversion plus piezoresistive gel response enables self-powered temperature and strain sensing; zwitterions improve dehydration/cold resistance,iTE_lever_complements_TG_system,curated_rule:fixed_charge_iodide_separator; no semantic-similarity inference,claim; mechanism,claim; mechanism,claim_direct_support,,False,,False,accepted_claim_direct,True,True
PRG_e948eab97497,fixed_charge_iodide_separator,把固定正电荷通道与分子识别结合，做 I−/I3− TG 选择性隔层,INSIGHT_5028D04E75,P1096,2020,Photothermoelectric Response of Ti3C2Tx MXene Confined Ion Channels,10.1021/acsnano.0c04099,A_direct_evidence_ready,E3_mechanism_and_outcome_exact,H1_evidence_ready,core_iTE,fixed_charge_selectivity; oriented_or_confined_channels; photothermal_or_heat_management; osmotic_or_concentration_gradient,固定电荷/离子选择性; 取向/限域离子通道; 光热/热管理; 渗透/浓度梯度,"photothermal MXene heating drives cation-selective diffusion potentials across subnanometer channels, producing ionic Seebeck response",Here we demonstrate the MXene-based subnanometer ion channels that convert external temperature changes to electric signals via preferential diffusion of cations under a thermal gradient.,Here we demonstrate the MXene-based subnanometer ion channels that convert external temperature changes to electric signals via preferential diffusion of cations under a thermal gradient.,"The photothermoelectric ionic response (evaluated from the ionic Seebeck coefficient) reached up to 1 mV.K-1, which is comparable to biological thermosensory channels, and demonstrated stability and reproducibility in the absence and presence of an ionic concentration gradient.",P0008,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,PVA hydrogel with I-/I3- redox couple and zwitterions,thermogalvanic redox conversion plus piezoresistive gel response enables self-powered temperature and strain sensing; zwitterions improve dehydration/cold resistance,iTE_lever_complements_TG_system,curated_rule:fixed_charge_iodide_separator; no semantic-similarity inference,claim,claim,claim_direct_support,,False,,False,accepted_claim_direct,True,True
