theme_id,insight_id,paper_id,year,insight_claim
ITE_THEME_433D8967EE,INSIGHT_375784630E,P0622,2020,PEDOT:PSS harvests temperature gradients by electronic Seebeck effect while ionogel harvests temperature fluctuations by Soret ion diffusion
ITE_THEME_433D8967EE,INSIGHT_AE07CBDED1,P0656,2016,controlling electrochemistry at PEDOT:PSS/electrode interface controls lifetime of ionic Seebeck enhancement
ITE_THEME_0C9E8D35BC,INSIGHT_FFEAB52B68,P0554,2023,opposite solar/thermal optical properties generate spontaneous day/night temperature differences to drive ionic thermoelectric voltage
ITE_THEME_0C9E8D35BC,INSIGHT_3CA7A53FF8,P1191,2017,"broadband illumination induces plasmonic heating and solar-driven heat gradients, producing ionic thermoelectric voltage"
ITE_THEME_D0943983CA,INSIGHT_23371E2918,P0358,2025,adhesive ionic thermoelectric units maintain compact thermal contact and electrical connection
ITE_THEME_D0943983CA,INSIGHT_906A4D1602,P0384,2024,"ionic liquid content controls crystallization, mechanical properties, ionic conductivity, and device-topology-dependent thermoelectric response"
ITE_THEME_D0943983CA,INSIGHT_0FE8C218B8,P1053,2023,"temperature-dependent mobility, Soret thermodiffusion, and slip-amplified thermoosmosis control ionic thermoelectric response"
ITE_THEME_F248846D6E,INSIGHT_42B66373F2,P0584,2023,"hydrophobic network and ionic liquid prevent swelling under water, preserving ionic thermoelectric performance for underwater heat harvesting"
ITE_THEME_F248846D6E,INSIGHT_1A41ACA948,P0613,2022,"water retention, freezing resistance, and self-regeneration maintain ionic thermoelectric output under ambient, low-temperature, and drying/regeneration conditions"
ITE_THEME_F248846D6E,INSIGHT_72623340A3,P0679,2025,moisture and pore solution cation transport dominate p-type ionic thermoelectric response; drying reduces and rehydration restores ionic mobility
ITE_THEME_91F151B1F1,INSIGHT_676950CAE4,P0373,2023,manipulating ion-electrode interactions gives reversible bipolar thermopower
ITE_THEME_91F151B1F1,INSIGHT_A88F33805F,P0400,2022,electrode/ion-gel interface controls effective thermopower
ITE_THEME_3C1C4616E4,INSIGHT_4B646D20AD,P0390,2022,NaCl improves ionic thermoelectric properties for integrated energy conversion-storage
