paper_id,domain,scope,reference_id,validity,coverage,match_ids,reason
P1190,iTE,thermodynamics,P1190:g001,valid,missing,[],No extracted Seebeck-coefficient relationship.
P1190,iTE,application_sensing,P1190:g002,out_of_scope,missing,[],Generic application suitability.
P1190,iTE,ion_mass_transport,P1190:g003,valid,complete,"[""P1190:r001""]",
P1190,iTE,ion_mass_transport,P1190:g004,valid,complete,"[""P1190:r002""]",
P1190,iTE,ion_mass_transport,P1190:g005,valid,complete,"[""P1190:r003""]",
P1190,iTE,ion_mass_transport,P1190:g006,valid,complete,"[""P1190:r003""]",
P1190,iTE,intrinsic_material_mechanism,P1190:g007,valid,complete,"[""P1190:r004""]",
P1190,iTE,intrinsic_material_mechanism,P1190:g008,valid,complete,"[""P1190:r005""]",
P1914,iTE,measurement_method_model,P1914:g001,valid,complete,"[""P1914:r001""]",
P1914,iTE,measurement_method_model,P1914:g002,valid,complete,"[""P1914:r001""]",The extracted conditions explicitly specify UED temporal resolution.
P1914,iTE,measurement_method_model,P1914:g003,valid,complete,"[""P1914:r001""]",The extracted conditions explicitly specify UED spatial resolution.
P1914,iTE,intrinsic_material_mechanism,P1914:g004,valid,complete,"[""P1914:r002"", ""P1914:r003""]",
P1914,iTE,intrinsic_material_mechanism,P1914:g005,valid,complete,"[""P1914:r003""]",
P1914,iTE,ion_mass_transport,P1914:g006,valid,complete,"[""P1914:r002"", ""P1914:r006""]",Shared trimer identity supplies AgCrSe2 context; both enabling mechanisms and computational qualification are preserved.
P1914,iTE,intrinsic_material_mechanism,P1914:g007,valid,complete,"[""P1914:r002"", ""P1914:r004""]",
P1914,iTE,ion_mass_transport,P1914:g008,valid,complete,"[""P1914:r002"", ""P1914:r005""]",
P1914,iTE,ion_mass_transport,P1914:g009,valid,complete,"[""P1914:r002"", ""P1914:r006""]",The enabling relationship explicitly retains both mechanisms together in its conditions.
P1914,iTE,ion_mass_transport,P1914:g010,valid,complete,"[""P1914:r002"", ""P1914:r006""]",The extracted structural evolution and computational trimer–diffusion relationship preserve the stated association.
P1914,iTE,ion_mass_transport,P1914:g011,valid,complete,"[""P1914:r007""]",
P1914,iTE,measurement_method_model,P1914:g012,out_of_scope,complete,"[""P1914:r008""]",Generic future methodological promise.
P0980,iTE,device_thermal_management,P0980:g001,valid,partial,"[""P0980:r001""]",Experimental modality is replaced by unspecified.
P0980,iTE,device_thermal_management,P0980:g002,valid,partial,"[""P0980:r002""]",Experimental modality is replaced by unspecified.
P0980,iTE,other_adjacent_domain,P0980:g003,valid,missing,[],Needle-generated wind appears only within a subject label; no explicit generation relationship is extracted.
P0980,iTE,ion_mass_transport,P0980:g004,valid,partial,"[""P0980:r003""]",Experimental modality is replaced by unspecified.
P0980,iTE,ion_mass_transport,P0980:g005,valid,partial,"[""P0980:r004""]",Experimental modality is replaced by unspecified.
P0980,iTE,ion_mass_transport,P0980:g006,valid,partial,"[""P0980:r004"", ""P0980:r005""]","The drying outcome and deposition comparison are preserved, but experimental modality is unspecified."
P0980,iTE,application_sensing,P0980:g007,valid,complete,"[""P0980:r006""]",
P0980,iTE,device_thermal_management,P0980:g008,valid,complete,"[""P0980:r007""]",
P0980,iTE,application_sensing,P0980:g009,valid,complete,"[""P0980:r008""]",
P0980,iTE,application_sensing,P0980:g010,valid,complete,"[""P0980:r009""]",
P0980,iTE,measurement_method_model,P0980:g011,valid,complete,"[""P0980:r010""]",Both preparation steps remain jointly attached to the enrichment outcome.
P0980,iTE,application_sensing,P0980:g012,valid,complete,"[""P0980:r011""]",
P0980,iTE,application_sensing,P0980:g013,valid,complete,"[""P0980:r012""]",
P1378,iTE,ion_mass_transport,P1378:g001,valid,complete,"[""P1378:r001""]",
P1378,iTE,ion_mass_transport,P1378:g002,valid,complete,"[""P1378:r001""]",
P1378,iTE,ion_mass_transport,P1378:g003,valid,complete,"[""P1378:r002""]",
P1378,iTE,ion_mass_transport,P1378:g004,valid,complete,"[""P1378:r003""]",
P1378,iTE,ion_mass_transport,P1378:g005,valid,complete,"[""P1378:r004""]",
P1378,iTE,ion_mass_transport,P1378:g006,valid,complete,"[""P1378:r005""]",
P1378,iTE,ion_mass_transport,P1378:g007,valid,partial,"[""P1378:r006""]","Hypothesis is preserved, but experimental basis and interpretation of atmosphere dependence are not extracted."
