paper_id,evidence_type,raw_evidence,use_in_embedding_map,use_as_graph_node
P0001,material formulation,Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres thermogalvanic cell dressing,True,False
P0001,mechanism statement,"wound-dressing temperature gradient drives thermogalvanic voltage/electric field for stimulation, while hydrogel provides biocompatible antibacterial moist interface",True,False
P0002,material formulation,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system",True,False
P0002,mechanism statement,weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling,True,False
P0003,material formulation,Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type ionic thermoelectric generator,True,False
P0003,mechanism statement,Fe2+/Fe3+-Cl- complexation balances thermodiffusion thermopower and thermogalvanic current by tuning redox concentration,True,False
P0004,material formulation,Li+(H2O)n thermogalvanic hydrogel,True,False
P0004,mechanism statement,Li hydration structure gives antifreezing/non-drying ion conduction while thermal gradients generate self-powered biometric e-skin signals,True,False
P0005,material formulation,thermogalvanic ionogel thermocells with chaotropic ions and radiative-cooling structure,True,False
P0005,mechanism statement,chaotropic effect raises Seebeck coefficient and passive radiative cooling supplies sustained temperature difference for all-weather power,True,False
P0006,material formulation,flexible thermogalvanic armor with ion-transport highway,True,False
P0006,mechanism statement,thermosensitive crystallization and salting-out simultaneously increase thermogalvanic efficiency and mechanical toughness,True,False
P0007,material formulation,thermogalvanic hydrogel multimodal fingertip receptor,True,False
P0007,mechanism statement,static thermovoltage and dynamic interfacial heat-transfer signals enable pressure/temperature/material fingerprint sensing,True,False
P0008,material formulation,PVA hydrogel with I-/I3- redox couple and zwitterions,True,False
P0008,mechanism statement,thermogalvanic redox conversion plus piezoresistive gel response enables self-powered temperature and strain sensing; zwitterions improve dehydration/cold resistance,True,False
P0009,material formulation,photocatalytically enhanced thermogalvanic redox system,True,False
P0009,mechanism statement,"photocatalytic hydrogen/oxygen generation maintains redox-ion concentration gradient, coupling hydrogen production with thermogalvanic power",True,False
P0010,material formulation,water evaporation-enhanced thermogalvanic cell electrolyte,True,False
P0010,mechanism statement,"ambient evaporation creates electrolyte concentration gradient and sub-ambient cold side, boosting thermopower and output from waste steam",True,False
P0011,material formulation,cationic electroactive hydrogels with cationic redox pairs,True,False
P0011,mechanism statement,electrostatic compatibility between cationic network and redox pair facilitates redox-pair transport and increases current/power density,True,False
P0012,material formulation,PVA/trehalose/glycerol/water thermogalvanic hydrogel virtual interface,True,False
P0012,mechanism statement,body-heat thermoelectricity and active piezoresistive modulation transduce hand gestures into self-powered signals,True,False
P0013,material formulation,"thermogalvanic hydrogel/gelatin breathable array with phytic acid, glycerol, water",True,False
P0013,mechanism statement,through-hole breathable structure and hydrogen-bonded double network preserve ionic/electrical performance for facial-expression signals,True,False
P0014,material formulation,PEDOT:PSS/Fe(ClO4)2/3 solid-state n-type thermogalvanic polymer complex,True,False
P0014,mechanism statement,"PEDOT:PSS-Fe2+/Fe3+ electrostatic interactions liberate ClO4- ions, enhancing thermodiffusion and ionic conductivity for n-type output",True,False
P0015,material formulation,stretchable PVA thermogalvanic thermocell,True,False
P0015,mechanism statement,"stretching-induced crystallization couples with thermogalvanic redox effect to combine high strength, toughness, stretchability, and thermopower",True,False
P0016,material formulation,"dual-network hydrogel with [Fe(CN)6]3-/4-, lithium magnesium silicate, guanidinium, LiBr",True,False
P0016,mechanism statement,porous ion network and redox thermogalvanic response convert material-dependent interfacial heat transfer into self-powered identification signals,True,False
P0017,material formulation,PVA dual-network binary-solvent hydrogel fiber with Fe2+/Fe3+ redox ions,True,False
P0017,mechanism statement,nostril temperature swings from respiration generate thermogalvanic signals while strong solvent hydrogen bonding maintains moisture,True,False
P0018,material formulation,sodium ferrocyanide/ferricyanide thermogalvanic electrolyte with ethanol solvent regulator,True,False
P0018,mechanism statement,"ethanol modifies concentration gradient and solvation structure, raising temperature coefficient and extending low-temperature operating range",True,False
P0019,material formulation,dynamic crystalline ion-injected thermoelectric gel DCI-TEG,True,False
P0019,mechanism statement,solvent-exchange salting-out creates robust ionic gel that couples thermogalvanic current with piezoresistive pressure sensing,True,False
P0020,material formulation,aqueous [Ni(bpy)3]2+/3+ thermogalvanic redox agent,True,False
P0020,mechanism statement,different hydration-shell behavior between oxidant/reductant creates configurational entropy difference for stable high thermopower,True,False
P0021,material formulation,double-layer gelatin K4[Fe(CN)6]/K3[Fe(CN)6] thermogalvanic cell,True,False
P0021,mechanism statement,spatially separated redox gel layers maintain ion concentration gradients and boost thermogalvanic voltage/efficiency,True,False
P0022,material formulation,"Cu/Cu(en)2 2+ redox couple with ethylenediamine, Cu electrode, (NH4)2SO4 electrolyte",True,False
P0022,mechanism statement,Cu/en chelation reaction creates large entropy change for high n-type thermogalvanic temperature coefficient,True,False
P0023,material formulation,"polyacrylamide hydrogel with Fe(CN)6 3-/4-, guanidine hydrochloride, sodium pyrrolidone carboxylate",True,False
P0023,mechanism statement,redox thermogalvanic effect harvests device waste heat; guanidine boosts thermopower and sodium PCA improves water retention/mechanics,True,False
P0024,material formulation,solar liquid thermogalvanic generator with thermally sensitive TGCs and spectrally selective solar absorbers,True,False
P0024,mechanism statement,"solar absorber supplies heat directly to liquid TGCs, enabling full-spectrum solar-thermal-to-electric conversion without optical concentrator",True,False
P0025,material formulation,formamide/water thermogalvanic hydrogels,True,False
P0025,mechanism statement,"formamide increases redox reaction entropy, promotes ion desolvation, lowers activation energy, and accelerates reaction kinetics",True,False
