mention_id,label,context,context_start,context_end,method,embedding_text
TG:P0001:n2,exogenous electric field,"Moreover, the TGC dressing generates an exogenous electric field, promoting the spontaneous acceleration of wound healing.",0,122,source_sentence_or_semicolon_clause,"clustering: exogenous electric field. Context: Moreover, the TGC dressing generates an exogenous electric field, promoting the spontaneous acceleration of wound healing."
TG:P0001:n3,wound healing,"Moreover, the TGC dressing generates an exogenous electric field, promoting the spontaneous acceleration of wound healing.",0,122,source_sentence_or_semicolon_clause,"clustering: wound healing. Context: Moreover, the TGC dressing generates an exogenous electric field, promoting the spontaneous acceleration of wound healing."
TG:P0002:n1,weak Fe2+/3+-ClO4- interactions,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",0,225,source_sentence_or_semicolon_clause,"clustering: weak Fe2+/3+-ClO4- interactions. Context: The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration."
TG:P0002:n2,selective association between Fe2+ and nitrile solvents,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",0,225,source_sentence_or_semicolon_clause,"clustering: selective association between Fe2+ and nitrile solvents. Context: The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration."
TG:P0002:n3,entropy change available for electrochemical refrigeration,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",0,225,source_sentence_or_semicolon_clause,"clustering: entropy change available for electrochemical refrigeration. Context: The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration."
TG:P0003:n1,increase in Fe2+/3+ concentration,"On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.",0,172,source_sentence_or_semicolon_clause,"clustering: increase in Fe2+/3+ concentration. Context: On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device."
TG:P0003:n2,decrease in electron transfer resistance,"On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.",0,172,source_sentence_or_semicolon_clause,"clustering: decrease in electron transfer resistance. Context: On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device."
TG:P0003:n3,ISC value increase,"On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.",0,172,source_sentence_or_semicolon_clause,"clustering: ISC value increase. Context: On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device."
TG:P0004:n1,formation of Li+(H2O)n hydration structure,"Owing to the formation of Li+(H2O)n hydration structure, the TGH presents excellent anti-freezing and non-drying performance.",0,125,source_sentence_or_semicolon_clause,"clustering: formation of Li+(H2O)n hydration structure. Context: Owing to the formation of Li+(H2O)n hydration structure, the TGH presents excellent anti-freezing and non-drying performance."
TG:P0004:n2,anti-freezing,"Owing to the formation of Li+(H2O)n hydration structure, the TGH presents excellent anti-freezing and non-drying performance.",0,125,source_sentence_or_semicolon_clause,"clustering: anti-freezing. Context: Owing to the formation of Li+(H2O)n hydration structure, the TGH presents excellent anti-freezing and non-drying performance."
TG:P0004:n3,non-drying performance,"Owing to the formation of Li+(H2O)n hydration structure, the TGH presents excellent anti-freezing and non-drying performance.",0,125,source_sentence_or_semicolon_clause,"clustering: non-drying performance. Context: Owing to the formation of Li+(H2O)n hydration structure, the TGH presents excellent anti-freezing and non-drying performance."
TG:P0005:n2,Seebeck coefficient,"Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation.",0,216,source_sentence_or_semicolon_clause,"clustering: Seebeck coefficient. Context: Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation."
TG:P0005:n3,radiative cooling structure,"Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation.",0,216,source_sentence_or_semicolon_clause,"clustering: radiative cooling structure. Context: Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation."
TG:P0005:n4,self-supplying temperature difference,"Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation.",0,216,source_sentence_or_semicolon_clause,"clustering: self-supplying temperature difference. Context: Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation."
TG:P0005:n5,all-weather power generation,"Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation.",0,216,source_sentence_or_semicolon_clause,"clustering: all-weather power generation. Context: Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation."
TG:P0006:n1,thermosensitive-crystallization,The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.,0,212,source_sentence_or_semicolon_clause,clustering: thermosensitive-crystallization. Context: The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.
