article_role,assertion,claim_id,claim_scope,conditions,context_quotes,decision_source,doi,domain,evidence_spans,id,joint_factor_local_resolution,joint_factor_raw_values,joint_factors,modality,modality_evidence,modality_spans,note,object,object_id,object_role,paper_id,paper_input_hash,paper_title,predicate,quote,relation_id,review_reason,review_status,scope,source,status,subject,subject_id,subject_role,target,year
research,author_claim,iTE:P0334:r001,own_work,,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1093/nsr/nwae411,iTE,"[{""start"":256,""end"":528}]",r001,,,[],unspecified,[],[],,Inconsistency of ionic thermoelectric material types,P0334:h,descriptor,P0334,b7334d5fc8e467afe2503c38980db62905bc1ba797b9efed9d7357519e104dc1,Unlocking new possibilities in ionic thermoelectric materials: a machine learning perspective,addresses,"Herein, by introducing the simplified molecular-input line-entry system, we have addressed the challenge posed by the inconsistency of i-TE material types, and present a machine learning model that evaluates the Seebeck coefficient with an R2 of 0.98 on the test dataset. ",P0334:r001,,not_targeted_by_full_audit_v1,measurement_method_model,iTE:Cb7f41a0ce6288d,accepted,Simplified molecular-input line-entry system representation,P0334:s,design_strategy,iTE:C41ece7b468243c,2025
research,author_claim,iTE:P0334:r002,own_work,,"[""This work uses machine learning to predict the Seebeck coefficients of ionic thermoelectric materials, offering a faster path to discovering high-performance materials for efficient energy conversion.""]","{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1093/nsr/nwae411,iTE,"[{""start"":256,""end"":528},{""start"":1096,""end"":1296}]",r002,,,[],computational,"[""Herein, by introducing the simplified molecular-input line-entry system, we have addressed the challenge posed by the inconsistency of i-TE material types, and present a machine learning model that evaluates the Seebeck coefficient with an R2 of 0.98 on the test dataset. "",""This work uses machine learning to predict the Seebeck coefficients of ionic thermoelectric materials, offering a faster path to discovering high-performance materials for efficient energy conversion.""]","[{""start"":256,""end"":528},{""start"":1096,""end"":1296}]",,Seebeck coefficient,P0334:sc,quantity,P0334,b7334d5fc8e467afe2503c38980db62905bc1ba797b9efed9d7357519e104dc1,Unlocking new possibilities in ionic thermoelectric materials: a machine learning perspective,predicts,"Herein, by introducing the simplified molecular-input line-entry system, we have addressed the challenge posed by the inconsistency of i-TE material types, and present a machine learning model that evaluates the Seebeck coefficient with an R2 of 0.98 on the test dataset. ",P0334:r002,,not_targeted_by_full_audit_v1,measurement_method_model,iTE:C77025ff0d49ae1,accepted,Machine learning Seebeck coefficient model,P0334:ml,design_strategy,iTE:C8967dc73f1c6a6,2025
research,author_claim,iTE:P0334:r003,own_work,Test dataset,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1093/nsr/nwae411,iTE,"[{""start"":256,""end"":528}]",r003,,,[],computational,"[""Herein, by introducing the simplified molecular-input line-entry system, we have addressed the challenge posed by the inconsistency of i-TE material types, and present a machine learning model that evaluates the Seebeck coefficient with an R2 of 0.98 on the test dataset. ""]","[{""start"":256,""end"":528}]",,Test-set R2 of 0.98,P0334:r,performance_function,P0334,b7334d5fc8e467afe2503c38980db62905bc1ba797b9efed9d7357519e104dc1,Unlocking new possibilities in ionic thermoelectric materials: a machine learning perspective,achieves,"Herein, by introducing the simplified molecular-input line-entry system, we have addressed the challenge posed by the inconsistency of i-TE material types, and present a machine learning model that evaluates the Seebeck coefficient with an R2 of 0.98 on the test dataset. ",P0334:r003,,not_targeted_by_full_audit_v1,measurement_method_model,iTE:C77025ff0d49ae1,accepted,Machine learning Seebeck coefficient model,P0334:ml,design_strategy,iTE:Cd1ae637437b523,2025
research,author_claim,iTE:P0334:r004,own_work,Experimentally identified using the machine learning tool,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1093/nsr/nwae411,iTE,"[{""start"":528,""end"":665}]",r004,,,[],experimental,"[""Using this tool, we experimentally identify a waterborne polyurethane/potassium iodide ionogel with a Seebeck coefficient of 41.39 mV/K. ""]","[{""start"":528,""end"":665}]",,Seebeck coefficient of 41.39 mV/K,P0334:v,quantity,P0334,b7334d5fc8e467afe2503c38980db62905bc1ba797b9efed9d7357519e104dc1,Unlocking new possibilities in ionic thermoelectric materials: a machine learning perspective,has,"Using this tool, we experimentally identify a waterborne polyurethane/potassium iodide ionogel with a Seebeck coefficient of 41.39 mV/K. ",P0334:r004,,not_targeted_by_full_audit_v1,thermodynamics,iTE:C2883a7ddacede0,accepted,Waterborne polyurethane/potassium iodide ionogel,P0334:g,material_entity,iTE:C97f6b66747070b,2025
research,author_claim,iTE:P0334:r005,own_work,Interpretable analysis corroborated by molecular dynamics simulations,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1093/nsr/nwae411,iTE,"[{""start"":665,""end"":893}]",r005,,,[],computational,"[""Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations. ""]","[{""start"":665,""end"":893}]",,Seebeck coefficient,P0334:sc,quantity,P0334,b7334d5fc8e467afe2503c38980db62905bc1ba797b9efed9d7357519e104dc1,Unlocking new possibilities in ionic thermoelectric materials: a machine learning perspective,negatively affects,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations. ",P0334:r005,,not_targeted_by_full_audit_v1,thermodynamics,iTE:Cbf243620ea7745,accepted,Number of rotatable bonds of ions,P0334:b,descriptor,iTE:C8967dc73f1c6a6,2025
research,author_claim,iTE:P0334:r006,own_work,Interpretable analysis corroborated by molecular dynamics simulations,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1093/nsr/nwae411,iTE,"[{""start"":665,""end"":893}]",r006,,,[],computational,"[""Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations. ""]","[{""start"":665,""end"":893}]",,Seebeck coefficient,P0334:sc,quantity,P0334,b7334d5fc8e467afe2503c38980db62905bc1ba797b9efed9d7357519e104dc1,Unlocking new possibilities in ionic thermoelectric materials: a machine learning perspective,negatively affects,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations. ",P0334:r006,,not_targeted_by_full_audit_v1,thermodynamics,iTE:C76450974c53b64,accepted,Octanol-water partition coefficient of ions,P0334:p,quantity,iTE:C8967dc73f1c6a6,2025
research,hypothesis,iTE:P0335:r001,own_work,,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1039/d4ee04247f,iTE,"[{""start"":453,""end"":587}]",r001,,,[],unspecified,[],[],,Ionic thermoelectric performance,P0335:perf,performance_function,P0335,efa918a200a0f0a0c2eee5e4b7819751ff5fb45b7d649e06cfa6cb7c8b9e06c2,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,is proposed to improve,"Herein, we propose a high-entropy concept by controlling the gel compositions to achieve remarkable ionic thermoelectric performance. ",P0335:r001,,not_targeted_by_full_audit_v1,thermodynamics,iTE:C43497d9c29a65e,accepted,Gel composition control using a high-entropy concept,P0335:d,design_strategy,iTE:C29da4458f99fb6,2025
research,author_claim,iTE:P0335:r002,own_work,,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1039/d4ee04247f,iTE,"[{""start"":587,""end"":792}]",r002,,,[],unspecified,[],[],,High entropy,P0335:he,state_structure,P0335,efa918a200a0f0a0c2eee5e4b7819751ff5fb45b7d649e06cfa6cb7c8b9e06c2,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,produces,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels. ",P0335:r002,,not_targeted_by_full_audit_v1,thermodynamics,iTE:Cc9b9ee39096d7b,accepted,"Multi-ion coupling, especially anions",P0335:mc,interaction,iTE:C82a63df03b5cfb,2025
research,author_claim,iTE:P0335:r003,own_work,High-entropy gel thermocell,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1039/d4ee04247f,iTE,"[{""start"":587,""end"":792}]",r003,,,[],unspecified,[],[],,Redox reaction entropy change,P0335:rs,quantity,P0335,efa918a200a0f0a0c2eee5e4b7819751ff5fb45b7d649e06cfa6cb7c8b9e06c2,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,improves,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels. ",P0335:r003,,not_targeted_by_full_audit_v1,thermodynamics,iTE:Cc9b9ee39096d7b,accepted,"Multi-ion coupling, especially anions",P0335:mc,interaction,iTE:Cdf78447c346805,2025
research,author_claim,iTE:P0335:r004,own_work,High-entropy gel thermocell,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1039/d4ee04247f,iTE,"[{""start"":587,""end"":792}]",r004,,,[],unspecified,[],[],,Exchange current density,P0335:ec,quantity,P0335,efa918a200a0f0a0c2eee5e4b7819751ff5fb45b7d649e06cfa6cb7c8b9e06c2,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,improves,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels. ",P0335:r004,,not_targeted_by_full_audit_v1,electrode_interface_kinetics,iTE:Cc9b9ee39096d7b,accepted,"Multi-ion coupling, especially anions",P0335:mc,interaction,iTE:Cd064e4df515ae3,2025
research,author_claim,iTE:P0335:r005,own_work,High-entropy gel thermocell,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1039/d4ee04247f,iTE,"[{""start"":587,""end"":792}]",r005,,,[],unspecified,[],[],,Ionic conductivity,P0335:ic,quantity,P0335,efa918a200a0f0a0c2eee5e4b7819751ff5fb45b7d649e06cfa6cb7c8b9e06c2,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,improves,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels. ",P0335:r005,,not_targeted_by_full_audit_v1,ion_mass_transport,iTE:Cc9b9ee39096d7b,accepted,"Multi-ion coupling, especially anions",P0335:mc,interaction,iTE:C45cb08b2627bd3,2025
research,author_claim,iTE:P0335:r006,own_work,"Through improved redox reaction entropy change, exchange current density and ionic conductivity",[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1039/d4ee04247f,iTE,"[{""start"":587,""end"":792}]",r006,,,[],unspecified,[],[],,Ionic thermoelectric performance,P0335:perf,performance_function,P0335,efa918a200a0f0a0c2eee5e4b7819751ff5fb45b7d649e06cfa6cb7c8b9e06c2,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,enhances,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels. ",P0335:r006,,not_targeted_by_full_audit_v1,thermodynamics,iTE:C82a63df03b5cfb,accepted,High entropy,P0335:he,state_structure,iTE:C29da4458f99fb6,2025
research,author_claim,iTE:P0335:r007,own_work,,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1039/d4ee04247f,iTE,"[{""start"":792,""end"":1008}]",r007,,,[],unspecified,[],[],,Ionic thermopower of 31 mV K-1,P0335:tp,quantity,P0335,efa918a200a0f0a0c2eee5e4b7819751ff5fb45b7d649e06cfa6cb7c8b9e06c2,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,has,"The fabricated high-entropy gel thermocell showed an ionic thermopower of 31 mV K-1, a normalized maximum output power density of 11.4 mW m-2 K-2, and a one-hour continuous discharge energy density of 4.3 J m-2 K-2. ",P0335:r007,,not_targeted_by_full_audit_v1,thermodynamics,iTE:C29d83550d87772,accepted,High-entropy gel thermocell,P0335:g,material_entity,iTE:C3a1f64672cadfa,2025
research,author_claim,iTE:P0335:r008,own_work,,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1039/d4ee04247f,iTE,"[{""start"":792,""end"":1008}]",r008,,,[],unspecified,[],[],,Normalized maximum output power density of 11.4 mW m-2 K-2,P0335:pd,performance_function,P0335,efa918a200a0f0a0c2eee5e4b7819751ff5fb45b7d649e06cfa6cb7c8b9e06c2,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,has,"The fabricated high-entropy gel thermocell showed an ionic thermopower of 31 mV K-1, a normalized maximum output power density of 11.4 mW m-2 K-2, and a one-hour continuous discharge energy density of 4.3 J m-2 K-2. ",P0335:r008,,not_targeted_by_full_audit_v1,device_thermal_management,iTE:C29d83550d87772,accepted,High-entropy gel thermocell,P0335:g,material_entity,iTE:C0d2ddf25141455,2025
research,author_claim,iTE:P0335:r009,own_work,One-hour continuous discharge,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1039/d4ee04247f,iTE,"[{""start"":792,""end"":1008}]",r009,,,[],unspecified,[],[],,One-hour continuous discharge energy density of 4.3 J m-2 K-2,P0335:ed,performance_function,P0335,efa918a200a0f0a0c2eee5e4b7819751ff5fb45b7d649e06cfa6cb7c8b9e06c2,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,has,"The fabricated high-entropy gel thermocell showed an ionic thermopower of 31 mV K-1, a normalized maximum output power density of 11.4 mW m-2 K-2, and a one-hour continuous discharge energy density of 4.3 J m-2 K-2. ",P0335:r009,,not_targeted_by_full_audit_v1,device_thermal_management,iTE:C29d83550d87772,accepted,High-entropy gel thermocell,P0335:g,material_entity,iTE:C7fec903273632e,2025
research,author_claim,iTE:P0335:r010,own_work,Twelve thermocells,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1039/d4ee04247f,iTE,"[{""start"":1008,""end"":1119}]",r010,,,[],unspecified,[],[],,Maximum output power density of 2.0 mW m-2 K-2,P0335:dp,performance_function,P0335,efa918a200a0f0a0c2eee5e4b7819751ff5fb45b7d649e06cfa6cb7c8b9e06c2,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,delivers,"Moreover, a device assembled by twelve thermocells delivered a maximum output power density of 2.0 mW m-2 K-2. ",P0335:r010,,not_targeted_by_full_audit_v1,device_thermal_management,iTE:Cd41ecedb058c88,accepted,Device assembled from twelve thermocells,P0335:dev,material_entity,iTE:Cc86372fdf095d0,2025
research,author_claim,iTE:P0336:r001,own_work,Through synergistic coordination and hydrophobic interactions,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1002/adma.202510199,iTE,"[{""start"":306,""end"":546}]",r001,"[{""raw_id"":""co"",""label"":""Coordination interactions""},{""raw_id"":""hy"",""label"":""Hydrophobic interactions""}]","[""co"",""hy""]","[""Coordination interactions"",""Hydrophobic interactions""]",unspecified,[],[],,Ionic Seebeck coefficient of -38.6 mV K-1,P0336:tp,quantity,P0336,a1fffe0d882e172020b3ed29a83744b6f7be71af651e8a40c35ee285897c423e,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,has,"Herein, a poly(vinyl alcohol) (PVA)-based n-type i-TE hydrogel is presented that exhibits both large negative S i (-38.6 mV K-1) and excellent stretchability (382.5%) through synergistic effect of coordination and hydrophobic interactions. ",P0336:r001,,not_targeted_by_full_audit_v1,thermodynamics,iTE:C12e6e76693c74c,accepted,PVA-based n-type ionic thermoelectric hydrogel,P0336:g,material_entity,iTE:C8ee92d4b57b737,2025
research,author_claim,iTE:P0336:r002,own_work,Through synergistic coordination and hydrophobic interactions,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1002/adma.202510199,iTE,"[{""start"":306,""end"":546}]",r002,"[{""raw_id"":""co"",""label"":""Coordination interactions""},{""raw_id"":""hy"",""label"":""Hydrophobic interactions""}]","[""co"",""hy""]","[""Coordination interactions"",""Hydrophobic interactions""]",unspecified,[],[],,Stretchability of 382.5%,P0336:st,performance_function,P0336,a1fffe0d882e172020b3ed29a83744b6f7be71af651e8a40c35ee285897c423e,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,has,"Herein, a poly(vinyl alcohol) (PVA)-based n-type i-TE hydrogel is presented that exhibits both large negative S i (-38.6 mV K-1) and excellent stretchability (382.5%) through synergistic effect of coordination and hydrophobic interactions. ",P0336:r002,,not_targeted_by_full_audit_v1,mechanical_environmental_stability,iTE:C12e6e76693c74c,accepted,PVA-based n-type ionic thermoelectric hydrogel,P0336:g,material_entity,iTE:Ce788b9c0e887d9,2025
research,author_claim,iTE:P0336:r003,own_work,,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1002/adma.202510199,iTE,"[{""start"":546,""end"":860}]",r003,,,[],unspecified,[],[],,Amphiphilic nature,P0336:am,descriptor,P0336,a1fffe0d882e172020b3ed29a83744b6f7be71af651e8a40c35ee285897c423e,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,has,"Leveraging the amphiphilic nature of PVA, its hydrophilic hydroxyl groups form coordination bonds with Cu2+ ions from copper chloride (CuCl2), while its hydrophobic backbone interacts with water-soluble conjugated polymer (poly(3-(3 '-N,N,N-triethylammonium-1 '-propy-loxy)-4-methyl-2,5-thiophene chloride (PMNT). ",P0336:r003,,not_targeted_by_full_audit_v1,intrinsic_material_mechanism,iTE:Cca72dcb006f1a8,accepted,PVA in the hydrogel,P0336:pva,material_entity,iTE:C555ca6f28c30ea,2025
