lever_left,lever_left_label_cn,lever_right,lever_right_label_cn,cooccurring_claim_count,cooccurring_paper_count,claim_jaccard,projection_interpretation
coordination_or_ion_pairing,配位/离子对,self_healing_or_tough_gel,自修复/强韧凝胶,14,13,0.121739,same claim carries both taxonomy labels; not causal coupling
hydration_and_solvation,水合与溶剂化,self_healing_or_tough_gel,自修复/强韧凝胶,14,14,0.118644,same claim carries both taxonomy labels; not causal coupling
antifreeze_or_low_volatility_gel,抗冻/低挥发凝胶,hydration_and_solvation,水合与溶剂化,11,10,0.130952,same claim carries both taxonomy labels; not causal coupling
coordination_or_ion_pairing,配位/离子对,hydration_and_solvation,水合与溶剂化,10,10,0.105263,same claim carries both taxonomy labels; not causal coupling
electrode_interface,电极界面,thermodiffusion_or_soret,热扩散/Soret,10,10,0.055556,same claim carries both taxonomy labels; not causal coupling
electrode_interface,电极界面,self_healing_or_tough_gel,自修复/强韧凝胶,9,8,0.048913,same claim carries both taxonomy labels; not causal coupling
antifreeze_or_low_volatility_gel,抗冻/低挥发凝胶,self_healing_or_tough_gel,自修复/强韧凝胶,8,8,0.072072,same claim carries both taxonomy labels; not causal coupling
hydration_and_solvation,水合与溶剂化,thermodiffusion_or_soret,热扩散/Soret,8,8,0.066116,same claim carries both taxonomy labels; not causal coupling
moisture_or_evaporation_gradient,湿度/蒸发梯度,thermodiffusion_or_soret,热扩散/Soret,8,8,0.064516,same claim carries both taxonomy labels; not causal coupling
moisture_or_evaporation_gradient,湿度/蒸发梯度,self_healing_or_tough_gel,自修复/强韧凝胶,7,7,0.054688,same claim carries both taxonomy labels; not causal coupling
ion_electron_coupling,离子–电子耦合,thermodiffusion_or_soret,热扩散/Soret,7,7,0.053435,same claim carries both taxonomy labels; not causal coupling
coordination_or_ion_pairing,配位/离子对,electrode_interface,电极界面,7,7,0.044025,same claim carries both taxonomy labels; not causal coupling
hydration_and_solvation,水合与溶剂化,moisture_or_evaporation_gradient,湿度/蒸发梯度,6,6,0.057143,same claim carries both taxonomy labels; not causal coupling
self_healing_or_tough_gel,自修复/强韧凝胶,thermodiffusion_or_soret,热扩散/Soret,6,5,0.040816,same claim carries both taxonomy labels; not causal coupling
antifreeze_or_low_volatility_gel,抗冻/低挥发凝胶,phase_or_species_transition,相变/物种转变,5,5,0.05102,same claim carries both taxonomy labels; not causal coupling
coordination_or_ion_pairing,配位/离子对,thermodiffusion_or_soret,热扩散/Soret,5,4,0.041322,same claim carries both taxonomy labels; not causal coupling
electrode_interface,电极界面,hydration_and_solvation,水合与溶剂化,5,4,0.030488,same claim carries both taxonomy labels; not causal coupling
fixed_charge_selectivity,固定电荷/离子选择性,oriented_or_confined_channels,取向/限域离子通道,4,3,0.108108,same claim carries both taxonomy labels; not causal coupling
moisture_or_evaporation_gradient,湿度/蒸发梯度,photothermal_or_heat_management,光热/热管理,4,4,0.051948,same claim carries both taxonomy labels; not causal coupling
