audit_id,group_index,selection_reason,members_reviewed,judge_decision,judge_reason,judge_model,judge_reasoning_effort,acceptance_method,status,required_human_review,evidence_locator
normcheck:g022,22,mixed_source_roles,11,uphold_existing_partition_with_uncertainties,保留离子负热响应与电子n型两类。电子子组中的conduction/conductivity在原句均用于判别载流子类型，不表示数值电导率；旧角色差异不能直接推出不同概念。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g022
normcheck:g028,28,mixed_source_roles,9,uphold_existing_partition_with_uncertainties,p-type在CNT句中是材料的载流类型修饰语，不是CNT实体本身。其余p型特征同样指空穴占优；明确Cs2CdZnCl6对象及全温区保持的限定继续分开。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g028
normcheck:g035,35,mixed_source_roles,7,revise_partition,修订：TG:P0118的30°C是电极极性转折的临界温度，不是两端温差。将该节点从DeltaT分区拆出待定；DeltaT仍仅含明确温差定义的1/4/5。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g035
normcheck:g038,38,mixed_source_roles,7,uphold_existing_partition_with_uncertainties,保留负到正离子热响应、电子n到p转换以及无固定方向的符号反转。state_structure与process来自标注视角，原句的方向性转变相同。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g038
normcheck:g042,42,mixed_source_roles,6,uphold_existing_partition_with_uncertainties,晶格参数/晶格常数同属周期几何量；P1644把同一量作为descriptor，不改变物理定义。维数、晶系和数值仍在来源中，未并入晶胞体积。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g042
normcheck:g068,68,mixed_source_roles,4,uphold_existing_partition_with_uncertainties,ion exchange与ionic exchange均指离子交换过程，作为制备策略不改变操作定义。spontaneous另有自发条件，继续单独保留。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g068
normcheck:g074,74,mixed_source_roles,4,uphold_existing_partition_with_uncertainties,n-doping均指造成n型载流行为的掺杂；方法、过程角色可对应同一操作。预测与已报告的情态应留在关系层，不能因此把预测说成实验验证。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g074
normcheck:g081,81,mixed_source_roles,4,uphold_existing_partition_with_uncertainties,switch/sign change均为符号变化；sign本身是属性。保留属性与事件边界，不因原文有reverse而覆盖节点所取的属性范围。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g081
normcheck:g106,106,mixed_source_roles,3,uphold_existing_partition_with_uncertainties,三句均明确PEDOT benzoid/benzenoid到quinoid的构象变化；第三句虽标state_structure，原文modifies ... from ... to仍有相同起止方向。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g106
normcheck:g149,149,mixed_source_roles,2,uphold_existing_partition_with_uncertainties,两句均为穿过电池的热通量，作为输入条件与被研究物理量是使用角色差异；没有证据将其改成热导率。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g149
normcheck:g152,152,mixed_source_roles,2,uphold_existing_partition_with_uncertainties,两个节点均指可调离子浓度这一量，variable是实验所改变的参数；不把浓度归一化为红氧反应或浓度反转事件。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g152
