projection_group_id,domain,subject_concept_id,object_concept_id,raw_predicate,assertion_type,direction,joint_factor_group,condition_annotation_status,evidence_count,relation_ids,paper_ids,aggregation_status
relation_projection:f792e8e6460cdf0a2199,TG,draft:v2:TG:00e4cec5080cfe00a175,draft:v2:TG:a0222b0390884a79b43d,increases,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0195:r003""]","[""P0195""]",navigation_only_no_evidence_deduplication
relation_projection:af8043f2bc50be7bb8d0,TG,draft:v2:TG:00f9149464af5e619f61,draft:v2:TG:d941f0171219024738ba,induces,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0072:r001""]","[""P0072""]",navigation_only_no_evidence_deduplication
relation_projection:a53854a2806ac77d2a43,TG,draft:v2:TG:011cb33b812722888e05,draft:v2:TG:f2aa19426941e9be7cfb,induces,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0039:r001""]","[""P0039""]",navigation_only_no_evidence_deduplication
relation_projection:64258003ec7c072d0d9e,TG,draft:v2:TG:014f9a8356c9f278e951,draft:v2:TG:20b6b815c1025680a071,directly involved in observed correlation,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0293:r001""]","[""P0293""]",navigation_only_no_evidence_deduplication
relation_projection:4e7c833a77bde40743c1,TG,draft:v2:TG:015fb6659b57b01a75b0,draft:v2:TG:69be1184fd8ba4a4bb8a,supports reported cycle efficiency,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0184:r001""]","[""P0184""]",navigation_only_no_evidence_deduplication
relation_projection:30baad2ac19826f213a4,TG,draft:v2:TG:0164f0bb4569f2e3cc33,draft:v2:TG:519def499cb6b1615385,increases,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0192:r003""]","[""P0192""]",navigation_only_no_evidence_deduplication
relation_projection:3f0a06b787c9d1a2a802,TG,draft:v2:TG:0164f0bb4569f2e3cc33,draft:v2:TG:c90ab2d13b329a75a042,improves,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0085:r002""]","[""P0085""]",navigation_only_no_evidence_deduplication
relation_projection:e3144b80ae564bd7dd05,TG,draft:v2:TG:024ba46dcfac6ba7b372,draft:v2:TG:1a99d401b52c8ac6a734,generates,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0175:r002""]","[""P0175""]",navigation_only_no_evidence_deduplication
relation_projection:0c39b309dbaf10e28964,TG,draft:v2:TG:03926c4a0add1a114425,draft:v2:TG:69be1184fd8ba4a4bb8a,limits,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0133:r002""]","[""P0133""]",navigation_only_no_evidence_deduplication
relation_projection:344eb939c8d8c8f3f824,TG,draft:v2:TG:03d962d43e654b388fd6,draft:v2:TG:3d5a4ee39084b325d129,higher than CoHCF,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0214:r001""]","[""P0214""]",navigation_only_no_evidence_deduplication
relation_projection:e0aa63845f6ad32085e4,TG,draft:v2:TG:03d962d43e654b388fd6,draft:v2:TG:d52f5848a6695d42c8c5,lower than CoHCF,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0214:r002""]","[""P0214""]",navigation_only_no_evidence_deduplication
relation_projection:bbcc6eef60ef10ec86da,TG,draft:v2:TG:042af1f80e0a3e5e1c0e,draft:v2:TG:4a86c74f9e7fe4704ff9,enables between external loops,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0263:r001""]","[""P0263""]",navigation_only_no_evidence_deduplication
relation_projection:e354247ed05f3ef77255,TG,draft:v2:TG:0436d373fed0477897f3,draft:v2:TG:7529c9ec98f7878481fc,boosts,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0035:r003""]","[""P0035""]",navigation_only_no_evidence_deduplication
relation_projection:511d13d85852491cadb0,TG,draft:v2:TG:048249d5b785b7d05827,draft:v2:TG:193c4585fa69cc57197f,maintains in proposed hybrid,hypothesis,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0116:r001""]","[""P0116""]",navigation_only_no_evidence_deduplication
relation_projection:67d54f63088756210671,TG,draft:v2:TG:054a30729b037a447f3b,draft:v2:TG:0afe676449258d3fe4bf,decreases,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0086:r004""]","[""P0086""]",navigation_only_no_evidence_deduplication
relation_projection:fc43e25a0abe67fdfdac,TG,draft:v2:TG:06c444e27d568538a576,draft:v2:TG:48c2bcf595b8ee467292,jointly enhances,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0289:r002""]","[""P0289""]",navigation_only_no_evidence_deduplication
relation_projection:edec9f377381ab4a8363,TG,draft:v2:TG:06cc08d57decf7bb0749,draft:v2:TG:47883afd24a37e2d1121,provides,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0084:r001""]","[""P0084""]",navigation_only_no_evidence_deduplication
relation_projection:75d9c49405f6ffeae4b5,TG,draft:v2:TG:06cc08d57decf7bb0749,draft:v2:TG:c39e470789dd4c9e494e,creates additional,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0084:r003""]","[""P0084""]",navigation_only_no_evidence_deduplication
relation_projection:1743f97d31524c8f9633,TG,draft:v2:TG:082d96349d28bb7db69b,draft:v2:TG:8ec958762e495cd6a7dc,enables,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0034:r003""]","[""P0034""]",navigation_only_no_evidence_deduplication
