node_audit_order,shared_global_concept_id,shared_label,shared_category,shared_node_focus_eligible,raw_node_strict_syntax_tier,raw_node_strict_syntax_tier_order,all_candidate_best_evidence_grade,all_candidate_best_evidence_grade_order,focus_candidate_best_evidence_grade,focus_candidate_best_evidence_grade_order,shared_ite_document_frequency,shared_tg_document_frequency,ite_incident_pair_count,tg_incident_pair_count,ite_relation_supported_incident_pair_count,tg_relation_supported_incident_pair_count,ite_highest_side_evidence_level,tg_highest_side_evidence_level,all_candidate_combination_count,focus_node_nontrivial_path_count,focus_candidate_combination_count,focus_endpoint_quarantine_path_count,tier_A_candidate_count,tier_B_candidate_count,tier_C_candidate_count,best_candidate_id,best_focus_candidate_id,human_relation_review_status,cross_paper_compatibility_status,novelty_status,release_status,release_reason,shared_minimum_document_frequency,review_adjusted_best_evidence_grade,review_adjusted_best_evidence_grade_order,review_adjusted_best_candidate_id,review_adjusted_R2_path_count,review_adjusted_R1_path_count,review_adjusted_R0_path_count,human_confirmation_status,cross_endpoint_evaluation_status
1,GC_02772d498f8b,heat transfer,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,6,7,10,0,0,1,1,70,70,45,25,0,0,70,TC_cd0ecd6bcc01,TC_cd0ecd6bcc01,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2,R0_cooccurrence_only_or_rejected,3,TC_cd0ecd6bcc01,0,0,45,pending,not_tested
2,GC_028a986f2d99,organic solvent,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,5,1,12,0,0,1,1,12,12,9,3,0,0,12,TC_adc40889d0b0,TC_adc40889d0b0,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2,R0_cooccurrence_only_or_rejected,3,TC_adc40889d0b0,0,0,9,pending,not_tested
3,GC_030e2d8d54dd,double network,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,3,2,4,7,0,0,1,1,28,28,14,14,0,0,28,TC_85c54a3c674b,TC_85c54a3c674b,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2,R0_cooccurrence_only_or_rejected,3,TC_85c54a3c674b,0,0,14,pending,not_tested
6,GC_06f57a9bca46,polymer electrolyte,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,3,1,4,3,0,0,1,1,12,12,4,8,0,0,12,TC_c8beff0eebf0,TC_72ce6e3a3e09,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_72ce6e3a3e09,0,0,4,pending,not_tested
8,GC_0958e69b1fba,thermoelectric hydrogel,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,3,1,14,1,0,0,1,1,14,14,12,2,0,0,14,TC_e34ec4c7046e,TC_e34ec4c7046e,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_e34ec4c7046e,0,0,12,pending,not_tested
10,GC_0ca6bf1bbab3,power conversion,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,5,2,16,0,0,1,1,32,32,13,19,0,0,32,TC_0021b5ac1a3d,TC_8aaa4a334829,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_8aaa4a334829,0,0,13,pending,not_tested
12,GC_0f4681a9cd6b,thermal transport,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,2,6,6,0,0,1,1,35,35,29,6,0,0,35,TC_318593f2e4af,TC_85a8930f9527,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2,R0_cooccurrence_only_or_rejected,3,TC_85a8930f9527,0,0,29,pending,not_tested
13,GC_0fe733725a97,p n pair,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,3,2,1,2,0,0,1,1,2,2,2,0,0,0,2,TC_fb1afa3e8d4b,TC_fb1afa3e8d4b,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2,R0_cooccurrence_only_or_rejected,3,TC_fb1afa3e8d4b,0,0,2,pending,not_tested
18,GC_1e4633c244ec,coupling,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,6,4,25,9,0,0,1,1,225,225,161,64,0,0,225,TC_f000edf817f8,TC_bcbe04dd5c62,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,4,R0_cooccurrence_only_or_rejected,3,TC_bcbe04dd5c62,0,0,161,pending,not_tested
22,GC_21faa67da1fd,conversion,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,25,20,41,31,0,0,1,1,1267,1267,596,671,0,0,1267,TC_4d50d5f1cb68,TC_4d50d5f1cb68,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,20,R0_cooccurrence_only_or_rejected,3,TC_4d50d5f1cb68,0,0,596,pending,not_tested
25,GC_27998e08b8e3,hydration,mechanism_or_process,True,B_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,9,2,21,10,1,0,2,1,210,210,96,114,0,10,200,TC_0eccf425499a,TC_0eccf425499a,pending,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2,R1_single_direct_sentence_relation,2,TC_0eccf425499a,0,6,90,pending,not_tested
26,GC_2b1ad84ea1c7,synergistic ion,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,1,1,4,0,0,1,1,4,4,4,0,0,0,4,TC_3c88b4c067da,TC_3c88b4c067da,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_3c88b4c067da,0,0,4,pending,not_tested
35,GC_3704e2ff083c,natural polymer,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,1,3,4,0,0,1,1,12,12,3,9,0,0,12,TC_9e5d7253e4a2,TC_9c4ce20ac9b6,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_9c4ce20ac9b6,0,0,3,pending,not_tested
36,GC_37ed05d8d43e,cooling,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,3,2,6,6,0,0,1,1,35,35,15,20,0,0,35,TC_b82724c4a32d,TC_4e02361b1528,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2,R0_cooccurrence_only_or_rejected,3,TC_4e02361b1528,0,0,15,pending,not_tested
40,GC_3c0cb933cdf7,ion pair,material_or_structure,True,B_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,1,1,5,3,0,1,1,2,15,15,6,9,0,5,10,TC_8ae06663a1e8,TC_8ae06663a1e8,pending,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R1_single_direct_sentence_relation,2,TC_8ae06663a1e8,0,3,3,pending,not_tested
41,GC_3c432d56645d,thermal gradient,mechanism_or_process,True,B_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,16,1,40,1,1,0,2,1,40,40,34,6,0,1,39,TC_f62b7feaf99e,TC_f62b7feaf99e,pending,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R1_single_direct_sentence_relation,2,TC_f62b7feaf99e,0,1,33,pending,not_tested
48,GC_47c6a6e3a833,hydrophobic interaction,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,1,4,3,0,0,1,1,12,12,8,4,0,0,12,TC_47c56fc43a2f,TC_47c56fc43a2f,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_47c56fc43a2f,0,0,8,pending,not_tested
50,GC_49990adc781e,energy conversion,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,15,6,31,9,0,0,1,1,277,277,118,159,0,0,277,TC_d7744ae42111,TC_d7744ae42111,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,6,R0_cooccurrence_only_or_rejected,3,TC_d7744ae42111,0,0,118,pending,not_tested
51,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,B_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,41,21,122,77,1,0,2,1,9390,9390,5925,3465,0,77,9313,TC_2ab1afc9d252,TC_2ab1afc9d252,pending,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,21,R0_cooccurrence_only_or_rejected,3,TC_2ab1afc9d252,0,0,5925,pending,not_tested
52,GC_4b155e3c784d,thermoelectric conversion,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,9,9,18,14,0,0,1,1,251,251,167,84,0,0,251,TC_423cf50a4fb7,TC_423cf50a4fb7,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,9,R0_cooccurrence_only_or_rejected,3,TC_423cf50a4fb7,0,0,167,pending,not_tested
53,GC_4ee8ca676793,dual network,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,2,4,5,0,0,1,1,20,20,20,0,0,0,20,TC_9caaae598d79,TC_9caaae598d79,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2,R0_cooccurrence_only_or_rejected,3,TC_9caaae598d79,0,0,20,pending,not_tested
57,GC_539699fb8a34,polymer network,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,5,1,10,5,0,0,1,1,50,50,36,14,0,0,50,TC_8a1a56bb0c8e,TC_0f6c8b25f774,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_0f6c8b25f774,0,0,36,pending,not_tested
58,GC_5577e4e6cadd,confined ion,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,1,2,2,0,0,1,1,4,4,4,0,0,0,4,TC_17408e46f262,TC_17408e46f262,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_17408e46f262,0,0,4,pending,not_tested
59,GC_55da0e25a007,crystallization,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,3,3,10,0,0,1,1,30,30,30,0,0,0,30,TC_fe3ff1e04aa4,TC_fe3ff1e04aa4,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2,R0_cooccurrence_only_or_rejected,3,TC_fe3ff1e04aa4,0,0,30,pending,not_tested
66,GC_5caf10c33d02,heating,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,4,3,2,4,0,0,1,1,8,8,2,6,0,0,8,TC_04c8d142f17b,TC_04c8d142f17b,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,3,R0_cooccurrence_only_or_rejected,3,TC_04c8d142f17b,0,0,2,pending,not_tested
67,GC_5f9395c3b80a,entropy,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,10,4,32,0,0,1,1,127,127,107,20,0,0,127,TC_0a976b186119,TC_0a976b186119,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2,R0_cooccurrence_only_or_rejected,3,TC_0a976b186119,0,0,107,pending,not_tested
70,GC_61a323841d4d,electrode electrolyte,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,3,7,8,0,0,1,1,56,56,56,0,0,0,56,TC_b103f944b15d,TC_b103f944b15d,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_b103f944b15d,0,0,56,pending,not_tested
71,GC_6210b1a22324,reduced graphene oxide,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,2,1,5,0,0,1,1,5,5,4,1,0,0,5,TC_38f9eee72936,TC_aa2c2621e9be,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_aa2c2621e9be,0,0,4,pending,not_tested
75,GC_6f2fde195710,interpenetrating network,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,1,3,1,0,0,1,1,3,3,3,0,0,0,3,TC_42cba3e47248,TC_42cba3e47248,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_42cba3e47248,0,0,3,pending,not_tested
77,GC_7058edaeedb4,human machine interaction,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,2,2,1,0,0,1,1,1,1,0,1,0,0,1,TC_3a030a146215,,not_applicable,untested,not_assessed,endpoint_quarantine,all_distinct_paths_fail_other_endpoint_category_or_generic_gate,1,Q_endpoint_quarantine_or_no_path,4,,0,0,0,pending,not_tested
79,GC_720e69b53d5a,concentration difference,mechanism_or_process,True,B_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,1,2,5,5,1,0,2,1,25,25,15,10,0,5,20,TC_be295d95a389,TC_f6d89618735d,pending,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R1_single_direct_sentence_relation,2,TC_f6d89618735d,0,3,12,pending,not_tested
80,GC_7502dbb07223,gradient,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,3,4,10,10,0,0,1,1,100,100,70,30,0,0,100,TC_a399251fb21d,TC_a399251fb21d,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,3,R0_cooccurrence_only_or_rejected,3,TC_a399251fb21d,0,0,70,pending,not_tested
