adjudication_id,relation_id,paper_id,semantic_verdict,direct_sentence_entailment,claim_context,production_graph_eligible,human_confirmation_status,identity_used_in_verdict,review_basis,decision_rationale
SA001,AR_e1bc1081eee2,P0285,accepted,true,study_mechanism_result,false,pending,false,two_independent_AI_original_sentence_reviews,"ion pairs is the relative-clause subject; reduce directly governs ionic conductivity as one coordinated object"
SA002,AR_9ff4ef61c8a8,P0283,accepted,true,study_mechanism_result,false,pending,false,two_independent_AI_original_sentence_reviews,"temperature-dependent host-guest interaction directly provides a concentration gradient"
SA003,AR_72c9bb1fbf6d,P0328,rejected,false,study_result_sentence_misparsed,false,pending,false,two_independent_AI_original_sentence_reviews,"generate governs thermoelectric power; temperature difference is an at-condition rather than the generated object"
SA004,AR_67420f8ca50e,P1614,rejected,false,study_result_sentence_misparsed,false,pending,false,two_independent_AI_original_sentence_reviews,"the grammatical agents are the sulfonate and phenyl moieties of the networks; replacing those moieties with amphiphilic networks is an unsupported NP compression"
SA005,AR_10561c52c88a,P0065,accepted,true,background_general_statement,false,pending,false,two_independent_AI_original_sentence_reviews,"temperature gradient directly drives the electrochemical redox reaction; the sentence is background rather than a new result of this paper"
SA006,AR_fed57ee4bc13,P0497,accepted,true,study_mechanism_result,false,pending,false,two_independent_AI_original_sentence_reviews,"regulation is the head of regulation of water content and induces directly governs hydration as one coordinated object; the extracted source label alone is underspecified"
SA007,AR_1e288c2fdddd,P1457,accepted,true,background_general_statement,false,pending,false,two_independent_AI_original_sentence_reviews,"thermal gradients directly induce concentration gradients; the sentence is background rather than a computed result of this paper"
SA008,AR_cc07e8ae6672,P1154,rejected,false,study_result_sentence_misparsed,false,pending,false,two_independent_AI_original_sentence_reviews,"hydrogel generates microcurrents; physiological temperature gradients are an under-condition rather than the generated object"
SA009,AR_d20ee0d670a0,P0525,accepted,true,study_mechanism_result,false,pending,false,two_independent_AI_original_sentence_reviews,"anion adsorption directly enhances the concentration difference"
SA010,AR_281e7aa7d45f,P0337,accepted,true,study_mechanism_result,false,pending,false,two_independent_AI_original_sentence_reviews,"host-guest complexation directly confines diffusion"
SA011,AR_08204431f286,P1345,rejected,false,study_result_sentence_misparsed,false,pending,false,two_independent_AI_original_sentence_reviews,"produces governs a confined nanostructure; transport belongs to the later supports clause and the extracted triple skips that intermediate predicate"
