relation_id,paper_id,analysis_layer,source_membership,year,title,doi,sentence_id,evidence_sentence,sentence_char_start,sentence_char_end,source_occurrence_id,source_global_concept_id,source_layer_node_id,source_surface,source_normalized_label,source_char_start,source_char_end,predicate_surface,predicate_normalized,predicate_char_start,predicate_char_end,target_occurrence_id,target_global_concept_id,target_layer_node_id,target_surface,target_normalized_label,target_char_start,target_char_end,assertion_status,risk_nominal_predicate,risk_hyphenated_predicate,risk_cross_clause,risk_other_predicate_between_endpoints,risk_long_endpoint_gap,risk_coordinated_inherited_subject,risk_compound_subject_after_selected_source,risk_intervening_target_head,risk_reasons,strict_syntax_eligible,human_semantic_review,graph_eligible,verifier_status
AR_bf4c506663f9,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,4,"Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity.",411,662,CO_618a32a0570e,GC_8fe38c9597eb,LN_6f0e9aa30dd6,synergistic binary solvent,synergistic binary solvent,473,499,rearranges,rearrange,529,539,CO_291917396a29,GC_7fd8c2696d32,LN_9131c4fde17c,solvation,solvation,544,553,observed_assertion,False,False,True,False,False,False,True,False,risk_cross_clause; risk_compound_subject_after_selected_source,False,pending,False,relation_review_required
AR_b5e339a79e45,P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,4,It's found that the thermopower generated by the hydrogels show a significant dependence on Fe2+/3+ concentration due to the complexation interaction between Fe2+/3+and Cl- species.,492,673,CO_2c7aa0e76764,GC_118af0040619,LN_328e2e60dbad,thermopower,thermopower,512,523,show,show,551,555,CO_2d7f12b77c36,GC_ef4247c19b0c,LN_33ac216edc22,complexation interaction,complexation interaction,617,641,observed_assertion,False,False,False,False,True,False,False,False,risk_long_endpoint_gap,False,pending,False,relation_review_required
AR_2750b6d3464c,P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,5,"On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.",674,846,CO_7f61b6376e62,GC_aeb7f6435b60,LN_15831a359d1c,Fe2+/3+,fe2+/3+,709,716,leads to,lead_to,736,744,CO_fe22487e7636,GC_1db0c6881d49,LN_17f3cde1f207,electron transfer,electron transfer,761,778,observed_assertion,False,False,False,True,False,False,False,False,risk_other_predicate_between_endpoints,False,pending,False,relation_review_required
AR_0b2a2cbd5a50,P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,5,"On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.",674,846,CO_7f61b6376e62,GC_aeb7f6435b60,LN_15831a359d1c,Fe2+/3+,fe2+/3+,709,716,decrease,decrease,749,757,CO_fe22487e7636,GC_1db0c6881d49,LN_17f3cde1f207,electron transfer,electron transfer,761,778,purpose_or_design,True,False,False,True,False,False,False,False,risk_nominal_predicate; risk_other_predicate_between_endpoints,False,pending,False,relation_review_required
AR_b0a72a57d85b,P0006,TG,TG,2024,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,5,The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.,602,814,CO_2c6d847ea2bf,GC_9016de567c2f,LN_3a4591bce013,elaborately designed ion-transport,elaborately designed ion transport,723,757,boost,boost,769,774,CO_a65134ef4cd3,GC_08f3d1289864,LN_8cb7a4dcfe6c,mechanical strength,mechanical strength,794,813,purpose_or_design,False,False,False,True,False,False,False,False,risk_other_predicate_between_endpoints,False,pending,False,relation_review_required
AR_df3939ce5f0e,P0006,TG,TG,2024,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,5,The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.,602,814,CO_2c6d847ea2bf,GC_9016de567c2f,LN_3a4591bce013,elaborately designed ion-transport,elaborately designed ion transport,723,757,improve,improve,786,793,CO_a65134ef4cd3,GC_08f3d1289864,LN_8cb7a4dcfe6c,mechanical strength,mechanical strength,794,813,observed_assertion,False,False,False,True,False,False,True,False,risk_other_predicate_between_endpoints; risk_compound_subject_after_selected_source,False,pending,False,relation_review_required
AR_15705325e379,P0009,TG,TG,2023,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,10.1126/science.adg0164,2,We report an in situ photocatalytically enhanced redox reaction that generates hydrogen and oxygen to realize a continuous concentration gradient of redox ions in thermogalvanic devices.,187,373,CO_6290242a3086,GC_dad97d797387,LN_13114a75157e,redox reaction,redox reaction,236,250,generates,generate,256,265,CO_9332786b4dea,GC_3e2f500dc35e,LN_f8a7c3d894fb,continuous concentration gradient,continuous concentration gradient,299,332,observed_assertion,False,False,False,True,False,False,False,False,risk_other_predicate_between_endpoints,False,pending,False,relation_review_required
AR_4a2496b41af8,P0009,TG,TG,2023,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,10.1126/science.adg0164,2,We report an in situ photocatalytically enhanced redox reaction that generates hydrogen and oxygen to realize a continuous concentration gradient of redox ions in thermogalvanic devices.,187,373,CO_6290242a3086,GC_dad97d797387,LN_13114a75157e,redox reaction,redox reaction,236,250,realize,realize,289,296,CO_9332786b4dea,GC_3e2f500dc35e,LN_f8a7c3d894fb,continuous concentration gradient,continuous concentration gradient,299,332,purpose_or_design,False,False,False,True,False,False,True,False,risk_other_predicate_between_endpoints; risk_compound_subject_after_selected_source,False,pending,False,relation_review_required
AR_1ee573ec7ccd,P0014,holdout,TG,2025,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,3,"The strategic design of the polymer complex, featuring electrostatic interactions between the PEDOT:PSS matrix and the Fe2+/3+ ions, enables the liberation of ClO4- ions, enhancing thermodiffusion and ionic conductivity.",333,553,CO_c08a4473dc44,GC_ff62a090ca0e,LN_6e189778f614,featuring electrostatic interactions,featuring electrostatic interaction,378,414,enables,enable,466,473,CO_2bbeb031f7f6,GC_d6888a448b17,LN_eaac6f87be3b,enhancing thermodiffusion,enhancing thermodiffusion,504,529,observed_assertion,False,False,True,False,False,False,False,False,risk_cross_clause,False,pending,False,relation_review_required
AR_26e345df7e10,P0016,holdout,TG,2025,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,10.1002/smll.202405911,3,"In this paper, a thermogalvanic dual-network hydrogel is fabricated with [Fe(CN)6]3-/4- as a redox couple and lithium magnesium silicate, Gdm+ and lithium bromide as key electrolytes to optimize the interconnected porous structure of the gel, which shows excellent mechanical and thermoelectric properties with a thermopower as high as 4.01 mV K-1.",355,703,CO_92e5560d56f3,GC_23b3557ddbdc,LN_2305b77019b9,key electrolytes,key electrolyte,521,537,shows,show,604,609,CO_7edc59c1c5ad,GC_82f863b160b5,LN_734e257af70f,thermoelectric properties,thermoelectric property,635,660,observed_assertion,False,False,True,False,True,False,False,False,risk_cross_clause; risk_long_endpoint_gap,False,pending,False,relation_review_required
AR_07bfe56bc1bb,P0017,holdout,TG,2025,Deep-learning-assisted thermogalvanic hydrogel fiber sensor for self-powered in-nostril respiratory monitoring,10.1016/j.jcis.2024.09.132,3,"Here, we present a self-powered in-nostril hydrogel sensor for long-term non-irritant anti-interference respiratory monitoring, which is developed from a dual-network binary-solvent thermogalvanic polyvinyl alcohol hydrogel fiber (d = 500 mu m, L=30 mm) with Fe2+/Fe3+ ions serving as a redox couple, which can generate a thermoelectrical signal in the nasal cavity based on the temperature difference between the exhaled gas and skin as well as avoid interference from the external environment.",337,832,CO_08486634b4d2,GC_ebe2b354cb7b,LN_e71c27a16a05,Fe2+/Fe3+ ions,fe2+/fe3+ ion,596,610,generate,generate,648,656,CO_fcef969f2016,GC_d18c91f9affa,LN_1b787b966419,temperature difference,temperature difference,716,738,hypothetical_or_modal,False,False,True,False,False,False,False,False,risk_cross_clause,False,pending,False,relation_review_required
AR_44420725a5b7,P0018,TG,TG,2025,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,10.1016/j.nanoen.2024.110515,4,"With ethanol as a regulator to the concentration gradient and solvation structure, the temperature coefficient of [Fe(CN)6]3-/4- can be enhanced from- 1.39 to- 4.32 mV K- 1 , leading to a five-fold increase in thermoelectric power and efficiency.",684,930,CO_9bd7903701d2,GC_7fd8c2696d32,LN_9131c4fde17c,solvation,solvation,746,755,increase,increase,882,890,CO_49268770c52b,GC_daadfd6b705e,LN_dc2fcf94b123,thermoelectric power,thermoelectric power,894,914,hypothetical_or_modal,True,False,True,False,True,False,False,False,risk_nominal_predicate; risk_cross_clause; risk_long_endpoint_gap,False,pending,False,relation_review_required
