semantic_audit_order,audit_order,candidate_id,review_adjusted_evidence_grade,review_adjusted_evidence_grade_order,review_adjusted_ite_side_level,review_adjusted_tg_side_level,review_adjusted_evidence_floor,review_adjusted_evidence_ceiling,ite_semantic_relation_review_status,tg_semantic_relation_review_status,semantic_review_scope,semantic_reviewer_type,human_confirmation_status,evidence_tier,evidence_tier_order,evidence_tier_reason,strict_syntax_supported_side,ite_side_evidence_level,tg_side_evidence_level,evidence_floor,evidence_ceiling,evidence_grade,evidence_grade_order,shared_global_concept_id,shared_label,shared_category,shared_node_focus_eligible,other_endpoints_focus_eligible,focus_eligible,shared_ite_document_frequency,shared_tg_document_frequency,shared_ite_incident_pair_degree,shared_tg_incident_pair_degree,ite_pair_id,ite_pair_key,ite_pair_label,ite_other_global_concept_id,ite_other_label,ite_other_category,ite_pair_paper_count,ite_pair_sentence_count,ite_pair_strict_syntax_relation_paper_count,ite_pair_human_confirmed_relation_paper_count,ite_strict_relation_ids,ite_human_confirmed_relation_ids,ite_authoritative_provenance_fk,tg_pair_id,tg_pair_key,tg_pair_label,tg_other_global_concept_id,tg_other_label,tg_other_category,tg_pair_paper_count,tg_pair_sentence_count,tg_pair_strict_syntax_relation_paper_count,tg_pair_human_confirmed_relation_paper_count,tg_strict_relation_ids,tg_human_confirmed_relation_ids,tg_authoritative_provenance_fk,closure_group_id,cross_endpoint_pair_key,cross_endpoint_pair,cross_endpoint_status_in_iTE,cross_endpoint_status_in_TG,human_relation_review_status,cross_paper_compatibility_status,cross_endpoint_evaluation_status,novelty_status,novelty_claim_allowed,scientific_claim_status,candidate_interpretation,minimum_relation_support,total_relation_support,minimum_human_confirmed_relation_support,total_human_confirmed_relation_support,minimum_pair_paper_count,sum_pair_paper_count,minimum_pair_sentence_count,sum_pair_sentence_count,shared_minimum_document_frequency,closure_path_count,shared_candidate_path_count,within_shared_node_support_rank,within_shared_node_tier_support_rank,focus_within_shared_node_support_rank,focus_within_shared_node_tier_support_rank,review_adjusted_within_shared_node_rank
1,1,TC_6b6af2caadc5,R2_dual_direct_sentence_relations,1,2,2,2,2,direct_sentence_relation_accepted,direct_sentence_relation_accepted,incident_relation_sentence_only,independent_AI_sentence_audit,pending,A_dual_strict_syntax_candidates,1,both_incident_pairs_have_strict_syntax_relation_support,both,2,2,2,2,G2_dual_strict_syntax_candidates,1,GC_cf402379d512,concentration gradient,mechanism_or_process,True,True,True,3,5,4,19,IP_e121590ef3d9,GC_3c432d56645d::GC_cf402379d512,thermal gradient + concentration gradient,GC_3c432d56645d,thermal gradient,mechanism_or_process,1,1,1,0,AR_1e288c2fdddd,,IP_e121590ef3d9,TP_671a0fd969af,GC_6624fb8cc64b::GC_cf402379d512,temperature dependent host guest interaction + concentration gradient,GC_6624fb8cc64b,temperature dependent host guest interaction,mechanism_or_process,1,1,1,0,AR_9ff4ef61c8a8,,TP_671a0fd969af,CL_96817e7a88e6,GC_3c432d56645d::GC_6624fb8cc64b,thermal gradient + temperature dependent host guest interaction,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,1,2,0,0,1,2,1,2,3,1,76,1,1,1,1,1
2,123,TC_0eccf425499a,R1_single_direct_sentence_relation,2,2,1,1,2,direct_sentence_relation_accepted,cooccurrence_only,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_27998e08b8e3,hydration,mechanism_or_process,True,True,True,9,2,21,10,IP_99e18ee308b7,GC_27998e08b8e3::GC_7320e2b5d0b7,hydration + regulation,GC_7320e2b5d0b7,regulation,mechanism_or_process,1,1,1,0,AR_fed57ee4bc13,,IP_99e18ee308b7,TP_4327b8c1c944,GC_27998e08b8e3::GC_41374fb28f21,hydration + redox ion,GC_41374fb28f21,redox ion,material_or_structure,1,1,0,0,,,TP_4327b8c1c944,CL_16c334e403d6,GC_41374fb28f21::GC_7320e2b5d0b7,regulation + redox ion,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,2,1,210,1,1,1,1,1
3,124,TC_63292af93846,R1_single_direct_sentence_relation,2,2,1,1,2,direct_sentence_relation_accepted,cooccurrence_only,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_27998e08b8e3,hydration,mechanism_or_process,True,True,True,9,2,21,10,IP_99e18ee308b7,GC_27998e08b8e3::GC_7320e2b5d0b7,hydration + regulation,GC_7320e2b5d0b7,regulation,mechanism_or_process,1,1,1,0,AR_fed57ee4bc13,,IP_99e18ee308b7,TP_533b56f218e6,GC_27998e08b8e3::GC_6cdb23f33c74,hydration + seebeck coefficient,GC_6cdb23f33c74,seebeck coefficient,outcome_or_property,1,1,0,0,,,TP_533b56f218e6,CL_9ec87c4182ec,GC_6cdb23f33c74::GC_7320e2b5d0b7,regulation + seebeck coefficient,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,2,1,210,2,2,2,2,2
4,126,TC_9bed6abcd898,R1_single_direct_sentence_relation,2,2,1,1,2,direct_sentence_relation_accepted,cooccurrence_only,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_27998e08b8e3,hydration,mechanism_or_process,True,True,True,9,2,21,10,IP_99e18ee308b7,GC_27998e08b8e3::GC_7320e2b5d0b7,hydration + regulation,GC_7320e2b5d0b7,regulation,mechanism_or_process,1,1,1,0,AR_fed57ee4bc13,,IP_99e18ee308b7,TP_5a33fdd26739,GC_27998e08b8e3::GC_4a92e5f4fe38,hydration + hydrogel,GC_4a92e5f4fe38,hydrogel,material_or_structure,1,1,0,0,,,TP_5a33fdd26739,CL_2f850b49d56a,GC_4a92e5f4fe38::GC_7320e2b5d0b7,regulation + hydrogel,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,2,3,210,4,4,3,3,3
5,130,TC_710d9b6fe99f,R1_single_direct_sentence_relation,2,2,1,1,2,direct_sentence_relation_accepted,cooccurrence_only,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_27998e08b8e3,hydration,mechanism_or_process,True,True,True,9,2,21,10,IP_99e18ee308b7,GC_27998e08b8e3::GC_7320e2b5d0b7,hydration + regulation,GC_7320e2b5d0b7,regulation,mechanism_or_process,1,1,1,0,AR_fed57ee4bc13,,IP_99e18ee308b7,TP_c2bf5e884dc9,GC_27998e08b8e3::GC_f7553cd07f36,hydration + hydrogel electrolyte,GC_f7553cd07f36,hydrogel electrolyte,material_or_structure,1,1,0,0,,,TP_c2bf5e884dc9,CL_a0258e55dbfa,GC_7320e2b5d0b7::GC_f7553cd07f36,regulation + hydrogel electrolyte,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,2,2,210,8,8,4,4,4
6,131,TC_1f47350504f0,R1_single_direct_sentence_relation,2,2,1,1,2,direct_sentence_relation_accepted,cooccurrence_only,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_27998e08b8e3,hydration,mechanism_or_process,True,True,True,9,2,21,10,IP_99e18ee308b7,GC_27998e08b8e3::GC_7320e2b5d0b7,hydration + regulation,GC_7320e2b5d0b7,regulation,mechanism_or_process,1,1,1,0,AR_fed57ee4bc13,,IP_99e18ee308b7,TP_e91e48ec3c5b,GC_27998e08b8e3::GC_6b48cf2a30d2,hydration + redox entropy difference,GC_6b48cf2a30d2,redox entropy difference,mechanism_or_process,1,1,0,0,,,TP_e91e48ec3c5b,CL_cfdb0a859a44,GC_6b48cf2a30d2::GC_7320e2b5d0b7,regulation + redox entropy difference,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,2,1,210,9,9,5,5,5
7,132,TC_fc4b06b28eb2,R1_single_direct_sentence_relation,2,2,1,1,2,direct_sentence_relation_accepted,cooccurrence_only,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_27998e08b8e3,hydration,mechanism_or_process,True,True,True,9,2,21,10,IP_99e18ee308b7,GC_27998e08b8e3::GC_7320e2b5d0b7,hydration + regulation,GC_7320e2b5d0b7,regulation,mechanism_or_process,1,1,1,0,AR_fed57ee4bc13,,IP_99e18ee308b7,TP_f0300dc04725,GC_27998e08b8e3::GC_fa33573849df,hydration + redox entropy,GC_fa33573849df,redox entropy,mechanism_or_process,1,1,0,0,,,TP_f0300dc04725,CL_a8d83fb65ae9,GC_7320e2b5d0b7::GC_fa33573849df,regulation + redox entropy,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,2,1,210,10,10,6,6,6
8,133,TC_8ae06663a1e8,R1_single_direct_sentence_relation,2,1,2,1,2,cooccurrence_only,direct_sentence_relation_accepted,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_3c0cb933cdf7,ion pair,material_or_structure,True,True,True,1,1,5,3,IP_6a7a108d8704,GC_2d2e2de4f537::GC_3c0cb933cdf7,coulombic interaction + ion pair,GC_2d2e2de4f537,coulombic interaction,mechanism_or_process,1,1,0,0,,,IP_6a7a108d8704,TP_46ec6d90fab8,GC_3c0cb933cdf7::GC_bc536166f47d,ion pair + ionic conductivity,GC_bc536166f47d,ionic conductivity,outcome_or_property,1,1,1,0,AR_e1bc1081eee2,,TP_46ec6d90fab8,CL_725137547b0b,GC_2d2e2de4f537::GC_bc536166f47d,coulombic interaction + ionic conductivity,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,15,1,1,1,1,1
9,134,TC_8f23bd333802,R1_single_direct_sentence_relation,2,1,2,1,2,cooccurrence_only,direct_sentence_relation_accepted,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_3c0cb933cdf7,ion pair,material_or_structure,True,True,True,1,1,5,3,IP_71541f756f62,GC_3c0cb933cdf7::GC_aa7025094eaf,ion pair + repulsive interaction,GC_aa7025094eaf,repulsive interaction,mechanism_or_process,1,1,0,0,,,IP_71541f756f62,TP_46ec6d90fab8,GC_3c0cb933cdf7::GC_bc536166f47d,ion pair + ionic conductivity,GC_bc536166f47d,ionic conductivity,outcome_or_property,1,1,1,0,AR_e1bc1081eee2,,TP_46ec6d90fab8,CL_f7ee0ef554eb,GC_aa7025094eaf::GC_bc536166f47d,repulsive interaction + ionic conductivity,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,15,2,2,2,2,2
10,135,TC_680b93bd09d0,R1_single_direct_sentence_relation,2,1,2,1,2,cooccurrence_only,direct_sentence_relation_accepted,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_3c0cb933cdf7,ion pair,material_or_structure,True,True,True,1,1,5,3,IP_bec71a66d24d,GC_3c0cb933cdf7::GC_8ad5b453cc37,ion pair + ion diffusion,GC_8ad5b453cc37,ion diffusion,mechanism_or_process,1,1,0,0,,,IP_bec71a66d24d,TP_46ec6d90fab8,GC_3c0cb933cdf7::GC_bc536166f47d,ion pair + ionic conductivity,GC_bc536166f47d,ionic conductivity,outcome_or_property,1,1,1,0,AR_e1bc1081eee2,,TP_46ec6d90fab8,CL_9372b1f9006e,GC_8ad5b453cc37::GC_bc536166f47d,ion diffusion + ionic conductivity,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,3,15,3,3,3,3,3
