review_queue_order,audit_order,candidate_id,evidence_tier,evidence_tier_order,evidence_tier_reason,strict_syntax_supported_side,ite_side_evidence_level,tg_side_evidence_level,evidence_floor,evidence_ceiling,evidence_grade,evidence_grade_order,shared_global_concept_id,shared_label,shared_category,shared_node_focus_eligible,other_endpoints_focus_eligible,focus_eligible,shared_ite_document_frequency,shared_tg_document_frequency,shared_ite_incident_pair_degree,shared_tg_incident_pair_degree,ite_pair_id,ite_pair_key,ite_pair_label,ite_other_global_concept_id,ite_other_label,ite_other_category,ite_pair_paper_count,ite_pair_sentence_count,ite_pair_strict_syntax_relation_paper_count,ite_pair_human_confirmed_relation_paper_count,ite_strict_relation_ids,ite_human_confirmed_relation_ids,ite_authoritative_provenance_fk,tg_pair_id,tg_pair_key,tg_pair_label,tg_other_global_concept_id,tg_other_label,tg_other_category,tg_pair_paper_count,tg_pair_sentence_count,tg_pair_strict_syntax_relation_paper_count,tg_pair_human_confirmed_relation_paper_count,tg_strict_relation_ids,tg_human_confirmed_relation_ids,tg_authoritative_provenance_fk,closure_group_id,cross_endpoint_pair_key,cross_endpoint_pair,cross_endpoint_status_in_iTE,cross_endpoint_status_in_TG,human_relation_review_status,cross_paper_compatibility_status,cross_endpoint_evaluation_status,novelty_status,novelty_claim_allowed,scientific_claim_status,candidate_interpretation,minimum_relation_support,total_relation_support,minimum_human_confirmed_relation_support,total_human_confirmed_relation_support,minimum_pair_paper_count,sum_pair_paper_count,minimum_pair_sentence_count,sum_pair_sentence_count,shared_minimum_document_frequency,closure_path_count,shared_candidate_path_count,within_shared_node_support_rank,within_shared_node_tier_support_rank,focus_within_shared_node_support_rank,focus_within_shared_node_tier_support_rank,round_robin_round,review_selection_reason,selection_policy_id,review_selected
1,1,TC_6b6af2caadc5,A_dual_strict_syntax_candidates,1,both_incident_pairs_have_strict_syntax_relation_support,both,2,2,2,2,G2_dual_strict_syntax_candidates,1,GC_cf402379d512,concentration gradient,mechanism_or_process,True,True,True,3,5,4,19,IP_e121590ef3d9,GC_3c432d56645d::GC_cf402379d512,thermal gradient + concentration gradient,GC_3c432d56645d,thermal gradient,mechanism_or_process,1,1,1,0,AR_1e288c2fdddd,,IP_e121590ef3d9,TP_671a0fd969af,GC_6624fb8cc64b::GC_cf402379d512,temperature dependent host guest interaction + concentration gradient,GC_6624fb8cc64b,temperature dependent host guest interaction,mechanism_or_process,1,1,1,0,AR_9ff4ef61c8a8,,TP_671a0fd969af,CL_96817e7a88e6,GC_3c432d56645d::GC_6624fb8cc64b,thermal gradient + temperature dependent host guest interaction,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,1,2,0,0,1,2,1,2,3,1,76,1,1,1,1,1,retain_all_dual_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
2,123,TC_0eccf425499a,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_27998e08b8e3,hydration,mechanism_or_process,True,True,True,9,2,21,10,IP_99e18ee308b7,GC_27998e08b8e3::GC_7320e2b5d0b7,hydration + regulation,GC_7320e2b5d0b7,regulation,mechanism_or_process,1,1,1,0,AR_fed57ee4bc13,,IP_99e18ee308b7,TP_4327b8c1c944,GC_27998e08b8e3::GC_41374fb28f21,hydration + redox ion,GC_41374fb28f21,redox ion,material_or_structure,1,1,0,0,,,TP_4327b8c1c944,CL_16c334e403d6,GC_41374fb28f21::GC_7320e2b5d0b7,regulation + redox ion,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,2,1,210,1,1,1,1,1,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
3,133,TC_8ae06663a1e8,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_3c0cb933cdf7,ion pair,material_or_structure,True,True,True,1,1,5,3,IP_6a7a108d8704,GC_2d2e2de4f537::GC_3c0cb933cdf7,coulombic interaction + ion pair,GC_2d2e2de4f537,coulombic interaction,mechanism_or_process,1,1,0,0,,,IP_6a7a108d8704,TP_46ec6d90fab8,GC_3c0cb933cdf7::GC_bc536166f47d,ion pair + ionic conductivity,GC_bc536166f47d,ionic conductivity,outcome_or_property,1,1,1,0,AR_e1bc1081eee2,,TP_46ec6d90fab8,CL_725137547b0b,GC_2d2e2de4f537::GC_bc536166f47d,coulombic interaction + ionic conductivity,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,15,1,1,1,1,1,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
4,138,TC_f62b7feaf99e,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_3c432d56645d,thermal gradient,mechanism_or_process,True,True,True,16,1,40,1,IP_e121590ef3d9,GC_3c432d56645d::GC_cf402379d512,thermal gradient + concentration gradient,GC_cf402379d512,concentration gradient,mechanism_or_process,1,1,1,0,AR_1e288c2fdddd,,IP_e121590ef3d9,TP_6febc60dcd6c,GC_3c432d56645d::GC_c5e29ae688a6,thermal gradient + investigate power,GC_c5e29ae688a6,investigate power,outcome_or_property,1,1,0,0,,,TP_6febc60dcd6c,CL_edf352a568c2,GC_c5e29ae688a6::GC_cf402379d512,concentration gradient + investigate power,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,40,1,1,1,1,1,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
5,187,TC_2ab1afc9d252,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,True,True,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_ad71e2c1bc9c,GC_4a92e5f4fe38::GC_f7553cd07f36,hydrogel + hydrogel electrolyte,GC_f7553cd07f36,hydrogel electrolyte,material_or_structure,3,6,0,0,,,TP_ad71e2c1bc9c,CL_1d8e13aed0e0,GC_f2bba15c8a15::GC_f7553cd07f36,physiological temperature gradient + hydrogel electrolyte,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,4,1,7,21,1,9390,1,1,1,1,1,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
6,317,TC_f6d89618735d,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_720e69b53d5a,concentration difference,mechanism_or_process,True,True,True,1,2,5,5,IP_8836d6fae355,GC_720e69b53d5a::GC_96687fd1b877,concentration difference + anion adsorption,GC_96687fd1b877,anion adsorption,mechanism_or_process,1,1,1,0,AR_d20ee0d670a0,,IP_8836d6fae355,TP_30855e8e1d19,GC_720e69b53d5a::GC_ebea89cc3918,concentration difference + kcl induced complexation,GC_ebea89cc3918,kcl induced complexation,mechanism_or_process,1,1,0,0,,,TP_30855e8e1d19,CL_4d2beaf70962,GC_96687fd1b877::GC_ebea89cc3918,anion adsorption + kcl induced complexation,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,25,2,2,1,1,1,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
7,354,TC_d0a0a1002ef9,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_9f138d3cd94d,diffusion,mechanism_or_process,True,True,True,11,4,23,7,IP_74c7586b48eb,GC_05203ac208f7::GC_9f138d3cd94d,host guest complexation + diffusion,GC_05203ac208f7,host guest complexation,mechanism_or_process,1,1,1,0,AR_281e7aa7d45f,,IP_74c7586b48eb,TP_13732954fa1b,GC_8335aa66a8d7::GC_9f138d3cd94d,single solvent + diffusion,GC_8335aa66a8d7,single solvent,material_or_structure,1,1,0,0,,,TP_13732954fa1b,CL_45480ab47ed5,GC_05203ac208f7::GC_8335aa66a8d7,host guest complexation + single solvent,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,4,1,160,1,1,1,1,1,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
8,361,TC_e42d3f23d772,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_a8e6012e4ab8,transport,mechanism_or_process,True,True,True,12,2,33,2,IP_ebba339631c0,GC_7c230545ba0f::GC_a8e6012e4ab8,zn2+-cellulose + transport,GC_7c230545ba0f,zn2+-cellulose,literal_formula,1,1,1,0,AR_08204431f286,,IP_ebba339631c0,TP_03e13f456596,GC_5a4b62ab7660::GC_a8e6012e4ab8,transport coefficient + transport,GC_5a4b62ab7660,transport coefficient,outcome_or_property,1,1,0,0,,,TP_03e13f456596,CL_00dc3c3d0a4b,GC_5a4b62ab7660::GC_7c230545ba0f,zn2+-cellulose + transport coefficient,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,2,1,65,1,1,1,1,1,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
9,478,TC_efae2fdc2182,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_cf402379d512,concentration gradient,mechanism_or_process,True,True,True,3,5,4,19,IP_e121590ef3d9,GC_3c432d56645d::GC_cf402379d512,thermal gradient + concentration gradient,GC_3c432d56645d,thermal gradient,mechanism_or_process,1,1,1,0,AR_1e288c2fdddd,,IP_e121590ef3d9,TP_66726162657b,GC_41374fb28f21::GC_cf402379d512,redox ion + concentration gradient,GC_41374fb28f21,redox ion,material_or_structure,2,2,0,0,,,TP_66726162657b,CL_c8a95dcf5002,GC_3c432d56645d::GC_41374fb28f21,thermal gradient + redox ion,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,3,1,3,3,4,76,2,1,2,1,1,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
10,623,TC_a9d4215cfe50,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_d18c91f9affa,temperature difference,mechanism_or_process,True,True,True,27,27,71,54,IP_ce8e1246423f,GC_6cdb23f33c74::GC_d18c91f9affa,seebeck coefficient + temperature difference,GC_6cdb23f33c74,seebeck coefficient,outcome_or_property,4,4,0,0,,,IP_ce8e1246423f,TP_7512f79881c6,GC_a51be089433c::GC_d18c91f9affa,maxsorb electrode + temperature difference,GC_a51be089433c,maxsorb electrode,material_or_structure,1,1,1,0,AR_72c9bb1fbf6d,,TP_7512f79881c6,CL_b9eecf2c2ac0,GC_6cdb23f33c74::GC_a51be089433c,seebeck coefficient + maxsorb electrode,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,5,1,5,27,2,3826,1,1,1,1,1,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
