domain,source_concept_id,target_concept_id,source_mention_id,target_mention_id,rank,cosine_similarity
TG,TG:P0001:initial_n2,TG:P0001:initial_n3,TG:P0001:n2,TG:P0001:n3,1,0.9762682914733887
TG,TG:P0001:initial_n2,TG:P0073:initial_n3,TG:P0001:n2,TG:P0073:n3,2,0.8223049640655518
TG,TG:P0001:initial_n2,TG:P0178:initial_n2,TG:P0001:n2,TG:P0178:n2,3,0.8142010569572449
TG,TG:P0001:initial_n2,TG:P0142:initial_n3,TG:P0001:n2,TG:P0142:n3,4,0.8115882873535156
TG,TG:P0001:initial_n2,TG:P0087:initial_n1,TG:P0001:n2,TG:P0087:n1,5,0.8101781606674194
TG,TG:P0001:initial_n2,TG:P0075:initial_n1,TG:P0001:n2,TG:P0075:n1,6,0.8089322447776794
TG,TG:P0001:initial_n2,TG:P0113:initial_n2,TG:P0001:n2,TG:P0113:n2,7,0.806860625743866
TG,TG:P0001:initial_n2,TG:P0064:initial_n2,TG:P0001:n2,TG:P0064:n2,8,0.802821159362793
TG,TG:P0001:initial_n2,TG:P0087:initial_n2,TG:P0001:n2,TG:P0087:n2,9,0.8026264905929565
TG,TG:P0001:initial_n2,TG:P0156:initial_n3,TG:P0001:n2,TG:P0156:n3,10,0.802491307258606
TG,TG:P0001:initial_n3,TG:P0001:initial_n2,TG:P0001:n3,TG:P0001:n2,1,0.9762682914733887
TG,TG:P0001:initial_n3,TG:P0064:initial_n2,TG:P0001:n3,TG:P0064:n2,2,0.8031200170516968
TG,TG:P0001:initial_n3,TG:P0073:initial_n3,TG:P0001:n3,TG:P0073:n3,3,0.8030620217323303
TG,TG:P0001:initial_n3,TG:P0087:initial_n1,TG:P0001:n3,TG:P0087:n1,4,0.8028925657272339
TG,TG:P0001:initial_n3,TG:P0087:initial_n2,TG:P0001:n3,TG:P0087:n2,5,0.7982747554779053
TG,TG:P0001:initial_n3,TG:P0075:initial_n1,TG:P0001:n3,TG:P0075:n1,6,0.7957561612129211
TG,TG:P0001:initial_n3,TG:P0113:initial_n2,TG:P0001:n3,TG:P0113:n2,7,0.7927644848823547
TG,TG:P0001:initial_n3,TG:P0142:initial_n3,TG:P0001:n3,TG:P0142:n3,8,0.7913163900375366
TG,TG:P0001:initial_n3,TG:P0073:initial_n1,TG:P0001:n3,TG:P0073:n1,9,0.7900290489196777
TG,TG:P0001:initial_n3,TG:P0047:initial_n2,TG:P0001:n3,TG:P0047:n2,10,0.7881943583488464
TG,TG:P0002:initial_n1,TG:P0002:initial_n2,TG:P0002:n1,TG:P0002:n2,1,0.9743331074714661
TG,TG:P0002:initial_n1,TG:P0002:initial_n3,TG:P0002:n1,TG:P0002:n3,2,0.9649759531021118
TG,TG:P0002:initial_n1,TG:P0258:initial_n4,TG:P0002:n1,TG:P0258:n4,3,0.8758151531219482
TG,TG:P0002:initial_n1,TG:P0084:initial_n3,TG:P0002:n1,TG:P0084:n3,4,0.8704742193222046
TG,TG:P0002:initial_n1,TG:P0258:initial_n5,TG:P0002:n1,TG:P0258:n5,5,0.8686134219169617
TG,TG:P0002:initial_n1,TG:P0192:initial_n1,TG:P0002:n1,TG:P0192:n1,6,0.8626104593276978
TG,TG:P0002:initial_n1,TG:P0258:initial_n2,TG:P0002:n1,TG:P0258:n2,7,0.8592455983161926
TG,TG:P0002:initial_n1,TG:P0264:initial_n3,TG:P0002:n1,TG:P0264:n3,8,0.8583181500434875
TG,TG:P0002:initial_n1,TG:P0258:initial_n1,TG:P0002:n1,TG:P0258:n1,9,0.8571528196334839
TG,TG:P0002:initial_n1,TG:P0084:initial_n2,TG:P0002:n1,TG:P0084:n2,10,0.8554036617279053
