program_id,program_rule_code,node_id,node_role,node_code,node_label,status,priority_score,candidate_status
PRG_9e58569c757c,oriented_channel_ferricyanide,TT_6a35ab71b28b,intervention,oriented_or_confined_channels,取向/限域离子通道,curated_transfer_target_not_observed_source_fact,85,direct_TG_precedent_upgrade_candidate
PRG_9e58569c757c,oriented_channel_ferricyanide,TT_5788bbe58b2e,material_system,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,curated_transfer_target_not_observed_source_fact,85,direct_TG_precedent_upgrade_candidate
PRG_9e58569c757c,oriented_channel_ferricyanide,TT_efba9d685405,bottleneck,oriented_channel_ferricyanide,增加交联会增强 TG 凝胶，却常同时降低 [Fe(CN)6]3−/4− 扩散和功率。,curated_transfer_target_not_observed_source_fact,85,direct_TG_precedent_upgrade_candidate
PRG_9e58569c757c,oriented_channel_ferricyanide,TT_a611861ff9aa,proposed_design,PRG_9e58569c757c,把 iTE 的取向纤维素/GO/纳米通道沿电极间方向布置，横向用高交联承力、纵向保留低曲折度红氧通路；对 [Fe(CN)6]3−/4− 应把原来的负表面改成中性或弱正电，避免排斥红氧阴离子。,curated_transfer_target_not_observed_source_fact,85,direct_TG_precedent_upgrade_candidate
PRG_3680dde71847,zwitterion_ph_switch_qhq,TT_600a5610ff74,intervention,ph_or_protonation_switch,pH/质子化开关,curated_transfer_target_not_observed_source_fact,84,new_cross_mechanism_hypothesis
PRG_3680dde71847,zwitterion_ph_switch_qhq,TT_4bd52e203ce7,material_system,quinone_hydroquinone,醌/氢醌（Q/HQ）,curated_transfer_target_not_observed_source_fact,84,new_cross_mechanism_hypothesis
PRG_3680dde71847,zwitterion_ph_switch_qhq,TT_cef724ff0167,bottleneck,zwitterion_ph_switch_qhq,Q/HQ 是质子耦合电子转移体系，热电势强依赖局部质子活度，但固定酸碱组成难兼顾高电压、可逆性和材料稳定性。,curated_transfer_target_not_observed_source_fact,84,new_cross_mechanism_hypothesis
PRG_3680dde71847,zwitterion_ph_switch_qhq,TT_21b934a3af84,proposed_design,PRG_3680dde71847,把 iTE 的 pH 响应两性离子网络作为 Q/HQ 电解质骨架，先测侧链 pKa 的温度导数；只有存在足够的 dpKa/dT 时，才利用冷热端不同质子化程度形成受限 ΔpH。,curated_transfer_target_not_observed_source_fact,84,new_cross_mechanism_hypothesis
PRG_e948eab97497,fixed_charge_iodide_separator,TT_759724737cc8,intervention,fixed_charge_selectivity,固定电荷/离子选择性,curated_transfer_target_not_observed_source_fact,83,mechanism_extension_white_space
PRG_e948eab97497,fixed_charge_iodide_separator,TT_baf4d79cd23e,material_system,iodide_triiodide,I−/I3−,curated_transfer_target_not_observed_source_fact,83,mechanism_extension_white_space
PRG_e948eab97497,fixed_charge_iodide_separator,TT_03efbb4cbb02,bottleneck,fixed_charge_iodide_separator,I3− 穿梭和冷热端混合会削弱浓度差，但过度固定 I3− 又会降低电极反应。,curated_transfer_target_not_observed_source_fact,83,mechanism_extension_white_space
PRG_e948eab97497,fixed_charge_iodide_separator,TT_57e70eebbb04,proposed_design,PRG_e948eab97497,将 iTE 的固定电荷/纳米通道改为薄的多阳离子选择层，置于 TG 主体电解质内部而非覆盖电极；再加入 α-CD、疏水微区或尺寸限域位点。I− 与 I3− 都是一价阴离子，固定正电荷只能调总体阴离子分配，真正的 I3−/I− 选择性必须来自尺寸、极化率或主–客体识别。,curated_transfer_target_not_observed_source_fact,83,mechanism_extension_white_space
PRG_e34db5baa25d,coordination_tuned_copper_tg,TT_a45b298d4663,intervention,coordination_or_ion_pairing,配位/离子对,curated_transfer_target_not_observed_source_fact,83,direct_TG_precedent_upgrade_candidate
PRG_e34db5baa25d,coordination_tuned_copper_tg,TT_9f85b942cba1,material_system,copper,Cu/Cu2+ 或 Cu 配合物,curated_transfer_target_not_observed_source_fact,83,direct_TG_precedent_upgrade_candidate
PRG_e34db5baa25d,coordination_tuned_copper_tg,TT_273056e21997,bottleneck,coordination_tuned_copper_tg,Cu/Cu2+ TG 的温度系数可由配体放大，但强配位同时会降低 Cu2+ 活度、扩散和电极交换。,curated_transfer_target_not_observed_source_fact,83,direct_TG_precedent_upgrade_candidate
PRG_e34db5baa25d,coordination_tuned_copper_tg,TT_4e8c5b282a69,proposed_design,PRG_e34db5baa25d,把 iTE 中纤维素/PVA–Cu2+ 可逆配位与 Cu/en 配位体系组合；先做空间均匀的配体密度系列，通过羧基/羟基/胺位点比例寻找中等结合区。不要先做配体梯度，否则 ΔT=0 时也会产生化学不对称电势。,curated_transfer_target_not_observed_source_fact,83,direct_TG_precedent_upgrade_candidate
PRG_0d4cbb7dc34c,anion_entanglement_fe_supporting_ion,TT_9007c7e3ceb0,intervention,anion_entanglement,阴离子缠结,curated_transfer_target_not_observed_source_fact,79,mechanism_extension_white_space
PRG_0d4cbb7dc34c,anion_entanglement_fe_supporting_ion,TT_38a8bc72a2bb,material_system,fe_ii_iii,Fe2+/Fe3+,curated_transfer_target_not_observed_source_fact,79,mechanism_extension_white_space
PRG_0d4cbb7dc34c,anion_entanglement_fe_supporting_ion,TT_d0b24db36f12,bottleneck,anion_entanglement_fe_supporting_ion,Fe2+/Fe3+ 的总电压同时含红氧熵项与 Cl−/ClO4− 等支持离子的 热扩散/液接电位项；后者可能相加也可能相消。,curated_transfer_target_not_observed_source_fact,79,mechanism_extension_white_space
PRG_0d4cbb7dc34c,anion_entanglement_fe_supporting_ion,TT_03337681d5d8,proposed_design,PRG_0d4cbb7dc34c,在 Fe2+/Fe3+ TG 凝胶中以 CF3SO3−/CH3SO3− 型第二阴离子或可逆阴离子结合位点替代部分支持盐；只调支持阴离子的迁移率，避免直接络合 Fe2+/Fe3+。,curated_transfer_target_not_observed_source_fact,79,mechanism_extension_white_space
PRG_88a7efad7dbd,manning_condensation_ferricyanide,TT_49c13c86c6af,intervention,counterion_condensation,Manning 反离子凝聚,curated_transfer_target_not_observed_source_fact,79,mechanism_extension_white_space
PRG_88a7efad7dbd,manning_condensation_ferricyanide,TT_5788bbe58b2e,material_system,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,curated_transfer_target_not_observed_source_fact,79,mechanism_extension_white_space
PRG_88a7efad7dbd,manning_condensation_ferricyanide,TT_aa6d6984ae7b,bottleneck,manning_condensation_ferricyanide,[Fe(CN)6]3−/[Fe(CN)6]4− 的价态只差一个电荷，常规凝胶难同时实现差异活度与快速扩散。,curated_transfer_target_not_observed_source_fact,79,mechanism_extension_white_space
PRG_88a7efad7dbd,manning_condensation_ferricyanide,TT_a3a2f548c4a1,proposed_design,PRG_88a7efad7dbd,把 iTE 中的负链/阳离子凝聚机制做电荷反转：构建低密度、可调间距的多阳离子链，使 3−/4− 阴离子产生不同凝聚/分配，但保留贯通自由液相。,curated_transfer_target_not_observed_source_fact,79,mechanism_extension_white_space
PRG_cf22ac785fee,antifreeze_cobalt_ionogel,TT_041399e3ff60,intervention,antifreeze_or_low_volatility_gel,抗冻/低挥发凝胶,curated_transfer_target_not_observed_source_fact,74,direct_TG_precedent_upgrade_candidate
PRG_cf22ac785fee,antifreeze_cobalt_ionogel,TT_c43f7b73f323,material_system,cobalt_complex,Co 配合物氧化还原对,curated_transfer_target_not_observed_source_fact,74,direct_TG_precedent_upgrade_candidate
PRG_cf22ac785fee,antifreeze_cobalt_ionogel,TT_6b6877f03cbb,bottleneck,antifreeze_cobalt_ionogel,Co 配合物 TG 适合非水高温或宽温运行，但离子液体/准固态体系常受黏度、低温扩散和机械封装限制。,curated_transfer_target_not_observed_source_fact,74,direct_TG_precedent_upgrade_candidate
