issue_id,relation_id,paper_id,issue_type,reason,proposed_action,subject,predicate,object,quote,status,source_edit_applied
issue_v2_001,iTE:P0337:r001,P0337,predicate_repeated_in_node,confines 同时存在于谓词与客体节点，容易把受限扩散重复编码。,保留原证据，另审过程节点与受限状态的拆分；禁止直接同义折叠。,host-guest complexation between alpha-CD and I3-,confines,confines the diffusion of I3-,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",model_issue_pending_review,False
issue_v2_002,iTE:P0349:r002,P0349,predicate_repeated_in_node,forming 已在客体短语中，谓词再次编码形成动作。,在规范表示中区分形成过程与溶剂实体，再决定边型；本轮不重写。,Formamide,forms by disrupting water hydrogen bonding,forming a deep eutectic solvent,"Formamide is used as a chaotic organic solvent that destroys the hydrogen bond network between water molecules, forming a deep eutectic solvent that enables the cell to operate near cryo temperatures (down to -35 degrees C).",model_issue_pending_review,False
issue_v2_003,TG:P0197:r001,P0197,predicate_repeated_in_node,confines 谓词与 confine free H2O 客体重复动作。,登记表示重审，保留水对象和聚合物网络限定。,functional groups on PACS,confines,confine free H2O molecules to the polymer network,"The abundant functional groups on PACS confine free H2O molecules to the polymer network, forming polar corona, reducing the volume of thermally diffused ions, and enabling rapid conduction of lithium ions (Li+) in unsaturated coordination.",model_issue_pending_review,False
issue_v2_004,TG:P0006:r001,P0006,joint_factor_assignment_review,摘要将结晶、盐析和通道共同归于效率与机械性能，当前两条边分别选不同因素-结果组合，即使谓词带 joint 也无法证明单因素对应。,使用同一联合主张容器保存因素和结果；未独立验证的因子效应不得分开统计。,thermosensitive-crystallization,joint design boosts,eta(r),The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.,model_issue_pending_review,False
issue_v2_004,TG:P0006:r002,P0006,joint_factor_assignment_review,摘要将结晶、盐析和通道共同归于效率与机械性能，当前两条边分别选不同因素-结果组合，即使谓词带 joint 也无法证明单因素对应。,使用同一联合主张容器保存因素和结果；未独立验证的因子效应不得分开统计。,salting-out effect,joint design improves,mechanical strength,The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.,model_issue_pending_review,False
issue_v2_005,TG:P0025:r005,P0025,change_direction_loss,原文是 lowering the activation energy ... improvement，而端点是 activation energy，谓词 improves 未显式保存下降方向。,在关系限定中写明 activation_energy_change=decrease；不可解释成活化能越大功率越高。,activation energy of the redox reaction,improves,thermoelectric power,"The results indicate that low FA concentrations promote the desolvation of redox ions, thereby accelerating the reaction kinetics and increasing the short-circuit current density. In addition, FA acts as a stabilizer for water, thereby lowering the activation energy of the redox reaction and resulting in a remarkable 60% improvement in overall thermoelectric power.",model_issue_pending_review,False
issue_v2_006,TG:P0025:r004,P0025,functional_label_coreference,stabilizer for water 回指 FA 的功能称谓，不能当成独立材料或独立机制。,登记回指候选，保留原短语与对应 FA 原文，不自动合并。,stabilizer for water,lowers,activation energy of the redox reaction,"The results indicate that low FA concentrations promote the desolvation of redox ions, thereby accelerating the reaction kinetics and increasing the short-circuit current density. In addition, FA acts as a stabilizer for water, thereby lowering the activation energy of the redox reaction and resulting in a remarkable 60% improvement in overall thermoelectric power.",model_issue_pending_review,False
issue_v2_007,TG:P0039:r002,P0039,parallel_clause_to_causal_chain,主语 guanidine ion 在原句中同时诱导结晶并增强效应；单靠该句不足以确定结晶到增强效应的直接边。,标记该直接因果边待核查全文；在主分析中暂不作为已接受因果边。,[Fe(CN)(6)](4-) ion crystallization,enhances,thermogalvanic effect,The guanidine ion induces [Fe(CN)(6)](4-) ion crystallization and significantly enhances the thermogalvanic effect.,model_issue_pending_review,False
issue_v2_008,TG:P0049:r003,P0049,quantity_process_endpoint_mismatch,these two processes 指 redox reaction 与 corrosion，而导出一端为 redox kinetic rate 量；过程之间的动力学互促被混写为速率与过程互促。,后续表示修订区分反应过程与其速率，保留互促的原文，不自动创建新节点。,redox kinetic rate of Q/HQ,kinetically reinforces,thermogalvanic corrosion of the copper electrode,"By adding hydrochloric acid (HCl) into electrolyte solution, HCl not only boosts intrinsic redox kinetic rate of Q/HQ, but also induces rapid thermogalvanic corrosion of the copper electrode. Notably, these two processes reinforce each other kinetically.",model_issue_pending_review,False
issue_v2_008,TG:P0049:r004,P0049,quantity_process_endpoint_mismatch,these two processes 指 redox reaction 与 corrosion，而导出一端为 redox kinetic rate 量；过程之间的动力学互促被混写为速率与过程互促。,后续表示修订区分反应过程与其速率，保留互促的原文，不自动创建新节点。,thermogalvanic corrosion of the copper electrode,kinetically reinforces,redox kinetic rate of Q/HQ,"By adding hydrochloric acid (HCl) into electrolyte solution, HCl not only boosts intrinsic redox kinetic rate of Q/HQ, but also induces rapid thermogalvanic corrosion of the copper electrode. Notably, these two processes reinforce each other kinetically.",model_issue_pending_review,False
