review_id,pair_id,iTE_claim,TG_claim,iTE_paper,TG_paper,score,endpoint_similarity,relation_lexical_similarity,selection,left_support,right_support,left_physics,right_physics,match,level,explanation,conditions,physical_boundary,neighbor_claim_ids,local_structure_assessment,transfer,insight_question,limitations,query
B01,X185bd36b542a,iTE:P1251:r003,TG:P0043:r003,P1251,P0043,0.7499637603759766,0.8826746940612793,0.4403047561645508,high_score_diverse,supported,supported,other_unclear,ionic_thermodiffusion,2,same_mechanism,两侧均明确支持“KCl提供离子”的同向关系；右侧进一步指定热扩散用途。对应成立于供离子这一已有作用层面。,insufficient,左侧未明确离子热扩散或电极反应机制；右侧器件同时包含氧化还原对，所选KCl关系只涉及热扩散供离子，不能代表全部热电流来源。,[],仅支持供离子的单边对应，无提供的邻边可建立两步路径。,already_similar_mechanism,,缺少盐浓度、含水量及机制分离数据；共享供离子方法不证明两器件热电转换机制相同。,
B02,Xcd483a8f116c,iTE:P1576:r016,TG:P0050:r001,P1576,P0050,0.5844510197639465,0.8219747543334961,0.03022913821041584,fixed_query_iTE,supported,supported,other_unclear,other_unclear,0,surface_similarity,左侧为复合SOFC阴极加快低频气体传输/氧解离，右侧仅陈述储热复合电极具有高导电性；动作与作用终点均不对应。,insufficient,SOFC氧交换动力学不能等同于电极导电性。右侧稳定输出还涉及储放热和维持温差，摘要未将其归因于高导电性。,"[""iTE:P1576:r015"", ""TG:P0050:r003"", ""TG:P0050:r004""]",左邻边确认低频过程身份；右邻边说明储热与稳定输出背景。均不能补成高导电性导致氧解离加快的路径。,not_supported,,左侧“fastened”措辞不规范，此处依上下文理解为加快；右侧未给导电类型、数值或对应动力学证据。,iTE:P1576:r016
B03,X4c43e2147460,iTE:P1325:r008,TG:P0112:r004,P1325,P0112,0.5975790023803711,0.8056979775428772,0.11196818947792053,fixed_query_iTE,supported,supported,other_unclear,thermogalvanic_redox,1,shared_outcome_only,两侧均支持获得较高电容，但左侧是薄膜的质量比电容结果，右侧是氧化还原对赝电容赋予器件面积比电容的归因，只有有限储能结果对应。,insufficient,244.7 F/g与13 F/cm²需质量负载及一致测试条件才能比较。左侧另报的电子热电性能不能证明其电容来自热充电；右侧明确利用热电化学效应。,"[""iTE:P1325:r005"", ""TG:P0112:r005""]",左侧可形成酸处理→薄膜→比电容；右侧可形成氧化还原赝电容→面积比电容→热致储能密度。两条同论文有向路径成立，但中间节点和因果角色不对应。,not_supported,,左侧未分解双电层与赝电容贡献；缺少可比电压窗口、负载及热充电条件，不能据电容指标提出机制迁移。,iTE:P1325:r008
B04,X28d43d89a4f1,iTE:P0423:r004,TG:P0045:r003,P0423,P0045,0.7194549441337585,0.9003841876983643,0.297286719083786,high_score_diverse,supported,supported,other_unclear,thermogalvanic_redox,1,analogous_different_mechanisms,盐析均是明确的上游因素，但左侧触发溶胶–凝胶转变，右侧造成通道内离子受限输运；终点不同，仅有结构调控层面的条件性对应。,insufficient,左侧需CaCl2和甘油缓和盐析以避免沉淀，并有氢键及盐溶作用参与成胶。右侧描述红氧离子凝胶中的受限输运，未证明同样的成胶过程或性能变化方向。,"[""iTE:P0423:r005"", ""TG:P0045:r004""]",左侧盐析→溶胶–凝胶转变→水凝胶、右侧盐析→受限输运→性能浓度依赖均保留同论文方向；不能跨论文补出成胶必然导致受限输运。,plausible_question,在左侧避免沉淀的配方窗口内，调节盐析程度是否也会改变通道中的离子输运及热电性能的浓度依赖？,这是结构调控类比问题；左侧加入铁氰化物并不足以确定其热电压机制，两侧均未提供可比通道结构数据。,
B05,Xa4f43caf3fde,iTE:P0545:r007,TG:P0289:r003,P0545,P0289,0.6271620988845825,0.8325663805007935,0.14788547158241272,fixed_query_TG,supported,supported,other_unclear,thermogalvanic_redox,1,analogous_different_mechanisms,两侧均涉及CNT电极设计，但左侧终点是相对滴涂电极的综合热电性能，右侧终点是快速氧化还原电子转移；仅支持有限电极设计类比。,insufficient,盐自由PVA体系未明确热电压来源或氧化还原反应，不能把其电容、阻抗改善解释为红氧催化。右侧明确依赖氧化还原电子转移及可接近表面积。,"[""iTE:P0545:r005"", ""iTE:P0545:r006"", ""TG:P0289:r002""]",左侧性能、电容及电阻是共享电极主语的并列边；右侧表面积和电子转移也是并列边。不能将这些邻边拼成跨论文因果链，只有有限单边类比。,plausible_question,在右侧热电化学体系中，控制CNT负载和电化学可接近面积后，嵌入式Ni泡沫–CNT与滴涂CNT电极的界面阻抗及红氧电子转移速率有何差异？,问题属于跨机制探索；Ni的化学稳定性和额外电化学贡献尚未验证，左侧湿度条件也不能直接沿用。,TG:P0289:r003
B06,Xcc69381c9ff8,iTE:P0359:r004,TG:P0161:r002,P0359,P0161,0.6929369568824768,0.9256147146224976,0.1500222235918045,fixed_query_TG,supported,supported,ionic_thermodiffusion,thermogalvanic_redox,0,surface_similarity,两侧都讨论凝胶与离子输运，但左侧加快输运，右侧阻碍输运，且分别服务于温差下转换与撤去温差后的储电，不构成同向关系对应。,conflict,冲突针对直接迁移：运行期快速输运与停热后抑制浓度均衡的目标相反。左侧还依赖阴阳离子迁移熵差，右侧处于红氧热电池的储电弛豫阶段；二者并非实验结论互相否定。,"[""iTE:P0359:r005"", ""TG:P0161:r003"", ""TG:P0161:r004""]",左侧结构→快速输运→热电效应的两步路径需保留羟基作用的协同条件。右侧邻边是凝胶阻碍均衡及支持储电的并列关系，不能制造输运节点通向储电的额外边。,not_supported,,缺少统一材料、运行阶段和输运参数的比较；不能推断提高离子迁移率会同时改善转换与电荷保持。,TG:P0161:r002
B07,X3ff6f28ca39f,iTE:P1614:r006,TG:P0084:r006,P1614,P0084,0.7668548226356506,0.8792327642440796,0.5046396851539612,high_score_diverse,supported,supported,thermogalvanic_redox,thermogalvanic_redox,2,same_mechanism,两侧均明确支持“材料与氧化还原离子相互作用→增大同一铁氰化物电对的熵差”。左侧保留磺酸根与苯基的共同作用，右侧限定选择性结合及水–甲醇介质；属于已有热电化学机制的相互印证。,insufficient,共同终点是氧化还原熵差，不是离子热扩散。具体结合方式不同；右侧溶剂条件与左侧湿度范围能否兼容尚无证据，不能推断结合越强、功率越高。,"[""iTE:P1614:r005"", ""iTE:P1614:r007"", ""TG:P0084:r005"", ""TG:P0084:r007""]",左侧r005→r006、右侧r005→r006均支持各自论文内“材料基团/材料→相互作用→熵差”的有向路径。左侧r006→r007还连接热电势；右侧r007是结合产生传输通道的分支，不能当作熵差的下游。,already_similar_mechanism,,摘要给出作者机制归因，未提供熵差测定细节或各相互作用的独立贡献；不构成新颖性结论。,
B08,Xec82869fe4c8,iTE:P1232:r002,TG:P0255:r004,P1232,P0255,0.5760360360145569,0.8114674091339111,0.02669619955122471,fixed_query_iTE,supported,supported,other_unclear,thermogalvanic_redox,0,surface_similarity,左侧是平均晶体结构含交替层间铜的组成关系，右侧是结晶所建立的Cu2+浓度梯度提高热电势的因果关系。铜元素和结构词汇重合不能建立关系对应。,insufficient,左侧目标仅描述固体晶体占位，未指定电压产生机制；其全文语境涉及能带与zT。右侧明确为液态Cu+/Cu2+氧化还原体系，不能把层间铜视为溶液浓度梯度。,"[""iTE:P1232:r001"", ""TG:P0255:r003""]",左侧r001与目标是同一主体的组成分支，不形成因果链；右侧r003→r004形成“热敏结晶→浓度梯度→热电势”路径，无左侧对应路径。,not_supported,,左侧关于结构重排、熵与zT的潜在联系不能替代所选组成关系；摘要不足以支持跨体系迁移。,iTE:P1232:r002
B09,X27c94d999e60,iTE:P0434:r009,TG:P0271:r007,P0434,P0271,0.7360408306121826,0.8892465233802795,0.3785609006881714,high_score_diverse,partial,supported,thermogalvanic_redox,thermogalvanic_redox,1,shared_outcome_only,两侧均报告水凝胶的负Seebeck系数，材料→性能关系有限对应。左侧数值有依据，但冻结条件仅写n型，遗漏摘要中超过LCST后收缩、选择性捕获并改变氧化还原反应的限定；右侧0.8 M样品及数值明确。,insufficient,左侧是温敏捕获铁氰根所调控的氧化还原响应，右侧采用铁(II/III)高氯酸盐；相同负号不证明同一选择性结合机制。摘要中的扩散调控也不足以另判独立Soret贡献或混合机制。,"[""iTE:P0434:r005"", ""iTE:P0434:r006""]",左侧邻居说明冷热端物种变化与LCST条件，但与目标共享材料主体，冻结边不能拼成捕获→Seebeck的两边路径。右侧无对应机制路径，仅能保留单边性能对应。,not_supported,,两侧缺少共同温度、温差及测量条件；最大值与特定浓度样品值不能直接排名，右侧未说明负热电势的具体调控机制。,
B10,X595d33f1a601,iTE:P0920:audit_v1_a001,TG:P0306:r009,P0920,P0306,0.7326289415359497,0.8784745931625366,0.39232248067855835,high_score_diverse,supported,supported,other_unclear,other_unclear,2,shared_outcome_only,两侧均直接支持“离子液体相关材料/器件→具有非挥发性”的属性关系，端点具有明确可比性；这是材料属性对应，不是热电转换机制对应。,insufficient,非挥发性本身不确定电荷转换机制，也不等于不泄漏或自修复。右侧虽采用钴配合物氧化还原热电池，所选非挥发性关系并未描述该机制。,[],仅支持单边属性对应；所供其他性能边不能建立非挥发性→热电势、功率或自修复的因果路径。,not_supported,,左侧为综述概括，右侧为具体准固态电解质；均未给出挥发损失的温度、时长或定量标准，不能据此提出性能迁移。,
