mention_id,paper_id,domain,local_node_id,raw_phrase,legacy_role,semantic_role,claim_id,quote,phrase_location_status,phrase_start_char,phrase_end_char,phrase_span_candidates,semantic_review_status,reconstruction_run_id,title,abstract
iTE:P0334:n1,P0334,iTE,n1,number of rotatable bonds,physical_consequence,,iTE:P0334:claim_block,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.",exact_unique_in_quote,718,743,"[[718, 743]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,Unlocking new possibilities in ionic thermoelectric materials: a machine learning perspective,"The high thermopower of ionic thermoelectric (i-TE) materials holds promise for miniaturized waste-heat recovery devices and thermal sensors. However, progress is hampered by laborious trial-and-error experimentations, which lack theoretical underpinning. Herein, by introducing the simplified molecular-input line-entry system, we have addressed the challenge posed by the inconsistency of i-TE material types, and present a machine learning model that evaluates the Seebeck coefficient with an R2 of 0.98 on the test dataset. Using this tool, we experimentally identify a waterborne polyurethane/potassium iodide ionogel with a Seebeck coefficient of 41.39 mV/K. Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations. This machine learning-assisted framework represents a pioneering effort in the i-TE field, offering significant promise for accelerating the discovery and development of high-performance i-TE materials. This work uses machine learning to predict the Seebeck coefficients of ionic thermoelectric materials, offering a faster path to discovering high-performance materials for efficient energy conversion."
iTE:P0334:n2,P0334,iTE,n2,octanol-water partition coefficient of ions,physical_consequence,,iTE:P0334:claim_block,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.",exact_unique_in_quote,752,795,"[[752, 795]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,Unlocking new possibilities in ionic thermoelectric materials: a machine learning perspective,"The high thermopower of ionic thermoelectric (i-TE) materials holds promise for miniaturized waste-heat recovery devices and thermal sensors. However, progress is hampered by laborious trial-and-error experimentations, which lack theoretical underpinning. Herein, by introducing the simplified molecular-input line-entry system, we have addressed the challenge posed by the inconsistency of i-TE material types, and present a machine learning model that evaluates the Seebeck coefficient with an R2 of 0.98 on the test dataset. Using this tool, we experimentally identify a waterborne polyurethane/potassium iodide ionogel with a Seebeck coefficient of 41.39 mV/K. Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations. This machine learning-assisted framework represents a pioneering effort in the i-TE field, offering significant promise for accelerating the discovery and development of high-performance i-TE materials. This work uses machine learning to predict the Seebeck coefficients of ionic thermoelectric materials, offering a faster path to discovering high-performance materials for efficient energy conversion."
iTE:P0334:n3,P0334,iTE,n3,Seebeck coefficients,performance,,iTE:P0334:claim_block,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.",exact_unique_in_quote,814,834,"[[814, 834]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,Unlocking new possibilities in ionic thermoelectric materials: a machine learning perspective,"The high thermopower of ionic thermoelectric (i-TE) materials holds promise for miniaturized waste-heat recovery devices and thermal sensors. However, progress is hampered by laborious trial-and-error experimentations, which lack theoretical underpinning. Herein, by introducing the simplified molecular-input line-entry system, we have addressed the challenge posed by the inconsistency of i-TE material types, and present a machine learning model that evaluates the Seebeck coefficient with an R2 of 0.98 on the test dataset. Using this tool, we experimentally identify a waterborne polyurethane/potassium iodide ionogel with a Seebeck coefficient of 41.39 mV/K. Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations. This machine learning-assisted framework represents a pioneering effort in the i-TE field, offering significant promise for accelerating the discovery and development of high-performance i-TE materials. This work uses machine learning to predict the Seebeck coefficients of ionic thermoelectric materials, offering a faster path to discovering high-performance materials for efficient energy conversion."
iTE:P0335:n1,P0335,iTE,n1,multi-ion coupling,mechanism,,iTE:P0335:claim_block,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",exact_unique_in_quote,617,635,"[[617, 635]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,"Gel thermocell, as a green and clean energy conversion technology, has a high ionic thermopower, and it is capable of functioning for self-powered sensors near room temperature. However, ionic thermoelectric performance is currently limited and needs to be improved to meet the practical requirements. To date, it has been a major challenge to significantly improve performance, including ionic thermopower, output power density, and energy harvesting. Herein, we propose a high-entropy concept by controlling the gel compositions to achieve remarkable ionic thermoelectric performance. The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels. The fabricated high-entropy gel thermocell showed an ionic thermopower of 31 mV K-1, a normalized maximum output power density of 11.4 mW m-2 K-2, and a one-hour continuous discharge energy density of 4.3 J m-2 K-2. Moreover, a device assembled by twelve thermocells delivered a maximum output power density of 2.0 mW m-2 K-2. Thus, the strategy proposed in this work provides guidelines for designing other high-performance gels."
iTE:P0335:n2,P0335,iTE,n2,redox reaction entropy change,physical_consequence,,iTE:P0335:claim_block,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",exact_unique_in_quote,671,700,"[[671, 700]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,"Gel thermocell, as a green and clean energy conversion technology, has a high ionic thermopower, and it is capable of functioning for self-powered sensors near room temperature. However, ionic thermoelectric performance is currently limited and needs to be improved to meet the practical requirements. To date, it has been a major challenge to significantly improve performance, including ionic thermopower, output power density, and energy harvesting. Herein, we propose a high-entropy concept by controlling the gel compositions to achieve remarkable ionic thermoelectric performance. The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels. The fabricated high-entropy gel thermocell showed an ionic thermopower of 31 mV K-1, a normalized maximum output power density of 11.4 mW m-2 K-2, and a one-hour continuous discharge energy density of 4.3 J m-2 K-2. Moreover, a device assembled by twelve thermocells delivered a maximum output power density of 2.0 mW m-2 K-2. Thus, the strategy proposed in this work provides guidelines for designing other high-performance gels."
iTE:P0335:n3,P0335,iTE,n3,exchange current density,physical_consequence,,iTE:P0335:claim_block,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",exact_unique_in_quote,702,726,"[[702, 726]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,"Gel thermocell, as a green and clean energy conversion technology, has a high ionic thermopower, and it is capable of functioning for self-powered sensors near room temperature. However, ionic thermoelectric performance is currently limited and needs to be improved to meet the practical requirements. To date, it has been a major challenge to significantly improve performance, including ionic thermopower, output power density, and energy harvesting. Herein, we propose a high-entropy concept by controlling the gel compositions to achieve remarkable ionic thermoelectric performance. The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels. The fabricated high-entropy gel thermocell showed an ionic thermopower of 31 mV K-1, a normalized maximum output power density of 11.4 mW m-2 K-2, and a one-hour continuous discharge energy density of 4.3 J m-2 K-2. Moreover, a device assembled by twelve thermocells delivered a maximum output power density of 2.0 mW m-2 K-2. Thus, the strategy proposed in this work provides guidelines for designing other high-performance gels."
iTE:P0335:n4,P0335,iTE,n4,ionic conductivity,physical_consequence,,iTE:P0335:claim_block,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",exact_unique_in_quote,732,750,"[[732, 750]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,"Gel thermocell, as a green and clean energy conversion technology, has a high ionic thermopower, and it is capable of functioning for self-powered sensors near room temperature. However, ionic thermoelectric performance is currently limited and needs to be improved to meet the practical requirements. To date, it has been a major challenge to significantly improve performance, including ionic thermopower, output power density, and energy harvesting. Herein, we propose a high-entropy concept by controlling the gel compositions to achieve remarkable ionic thermoelectric performance. The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels. The fabricated high-entropy gel thermocell showed an ionic thermopower of 31 mV K-1, a normalized maximum output power density of 11.4 mW m-2 K-2, and a one-hour continuous discharge energy density of 4.3 J m-2 K-2. Moreover, a device assembled by twelve thermocells delivered a maximum output power density of 2.0 mW m-2 K-2. Thus, the strategy proposed in this work provides guidelines for designing other high-performance gels."
iTE:P0336:n1,P0336,iTE,n1,dual-interaction strategy,material_strategy,,iTE:P0336:claim_block,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",exact_unique_in_quote,988,1013,"[[988, 1013]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,"Ionic thermoelectric (i-TE) materials show promise for flexible energy harvesting and self-powered sensing due to their high ionic Seebeck coefficients (S i). However, achieving both high thermoelectric performance and mechanical stretchability, especially in n-type systems, remains a critical challenge. Herein, a poly(vinyl alcohol) (PVA)-based n-type i-TE hydrogel is presented that exhibits both large negative S i (-38.6 mV K-1) and excellent stretchability (382.5%) through synergistic effect of coordination and hydrophobic interactions. Leveraging the amphiphilic nature of PVA, its hydrophilic hydroxyl groups form coordination bonds with Cu2+ ions from copper chloride (CuCl2), while its hydrophobic backbone interacts with water-soluble conjugated polymer (poly(3-(3 '-N,N,N-triethylammonium-1 '-propy-loxy)-4-methyl-2,5-thiophene chloride (PMNT). Meanwhile, hydrophobic associations also occur among PMNT chains due to strong pi-pi stacking and backbone hydrophobicity. This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower. Besides, the long-range hydrophobic interactions contribute to the overall mechanical robustness. The developed hydrogels are successfully implemented in self-powered temperature sensors and low-grade heat harvesting systems, such as powering a cooling fan by utilizing the waste heat from a working tablet. This work offers an alternative pathway toward developing high-performance i-TE materials for wearable electronics and low-grade heat harvesting applications."
iTE:P0336:n2,P0336,iTE,n2,thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations,mechanism,,iTE:P0336:claim_block,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",exact_unique_in_quote,1036,1124,"[[1036, 1124]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,"Ionic thermoelectric (i-TE) materials show promise for flexible energy harvesting and self-powered sensing due to their high ionic Seebeck coefficients (S i). However, achieving both high thermoelectric performance and mechanical stretchability, especially in n-type systems, remains a critical challenge. Herein, a poly(vinyl alcohol) (PVA)-based n-type i-TE hydrogel is presented that exhibits both large negative S i (-38.6 mV K-1) and excellent stretchability (382.5%) through synergistic effect of coordination and hydrophobic interactions. Leveraging the amphiphilic nature of PVA, its hydrophilic hydroxyl groups form coordination bonds with Cu2+ ions from copper chloride (CuCl2), while its hydrophobic backbone interacts with water-soluble conjugated polymer (poly(3-(3 '-N,N,N-triethylammonium-1 '-propy-loxy)-4-methyl-2,5-thiophene chloride (PMNT). Meanwhile, hydrophobic associations also occur among PMNT chains due to strong pi-pi stacking and backbone hydrophobicity. This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower. Besides, the long-range hydrophobic interactions contribute to the overall mechanical robustness. The developed hydrogels are successfully implemented in self-powered temperature sensors and low-grade heat harvesting systems, such as powering a cooling fan by utilizing the waste heat from a working tablet. This work offers an alternative pathway toward developing high-performance i-TE materials for wearable electronics and low-grade heat harvesting applications."
iTE:P0336:n3,P0336,iTE,n3,ionic thermopower,performance,,iTE:P0336:claim_block,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",exact_unique_in_quote,1145,1162,"[[1145, 1162]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,"Ionic thermoelectric (i-TE) materials show promise for flexible energy harvesting and self-powered sensing due to their high ionic Seebeck coefficients (S i). However, achieving both high thermoelectric performance and mechanical stretchability, especially in n-type systems, remains a critical challenge. Herein, a poly(vinyl alcohol) (PVA)-based n-type i-TE hydrogel is presented that exhibits both large negative S i (-38.6 mV K-1) and excellent stretchability (382.5%) through synergistic effect of coordination and hydrophobic interactions. Leveraging the amphiphilic nature of PVA, its hydrophilic hydroxyl groups form coordination bonds with Cu2+ ions from copper chloride (CuCl2), while its hydrophobic backbone interacts with water-soluble conjugated polymer (poly(3-(3 '-N,N,N-triethylammonium-1 '-propy-loxy)-4-methyl-2,5-thiophene chloride (PMNT). Meanwhile, hydrophobic associations also occur among PMNT chains due to strong pi-pi stacking and backbone hydrophobicity. This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower. Besides, the long-range hydrophobic interactions contribute to the overall mechanical robustness. The developed hydrogels are successfully implemented in self-powered temperature sensors and low-grade heat harvesting systems, such as powering a cooling fan by utilizing the waste heat from a working tablet. This work offers an alternative pathway toward developing high-performance i-TE materials for wearable electronics and low-grade heat harvesting applications."
