mention_id,paper_id,domain,raw_phrase,legacy_role,proposed_semantic_role,role_detail,role_flags,model_reason,quote,claim_id,annotation_author,proposal_status,human_decision,human_role,human_reason
iTE:P0334:n1,P0334,iTE,number of rotatable bonds,physical_consequence,descriptor,molecular_rotatability,predictor_not_cause,可解释模型中的分子特征，用于解释 Seebeck 关联。,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.",iTE:P0334:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0334:n2,P0334,iTE,octanol-water partition coefficient of ions,physical_consequence,descriptor,partition_coefficient_feature,predictor_not_cause,分配系数在此句充当模型预测特征，不是已证实的微观过程。,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.",iTE:P0334:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0334:n3,P0334,iTE,Seebeck coefficients,performance,performance_function,seebeck_coefficient,,被预测的热电性能指标。,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.",iTE:P0334:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0335:n1,P0335,iTE,multi-ion coupling,mechanism,interaction,multi_ion_cooperativity,underspecified,作者描述多离子耦合作用，未细分相互作用种类，保留阴离子主导语境。,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",iTE:P0335:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0335:n2,P0335,iTE,redox reaction entropy change,physical_consequence,quantity,redox_reaction_entropy_change,signed_quantity,氧化还原反应熵变化是物理量，improve 不自动转换为有符号数值增大。,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",iTE:P0335:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0335:n3,P0335,iTE,exchange current density,physical_consequence,quantity,exchange_current_density,,电极反应相关电流密度指标。,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",iTE:P0335:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0335:n4,P0335,iTE,ionic conductivity,physical_consequence,quantity,ionic_conductivity,,离子电导率是输运物理量。,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",iTE:P0335:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0336:n1,P0336,iTE,dual-interaction strategy,material_strategy,design_strategy,dual_interaction_design,compound_phrase,使用双重相互作用的设计策略；全文摘要给出配位与疏水作用，但不改写原节点。,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",iTE:P0336:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0336:n2,P0336,iTE,thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations,mechanism,quantity,thermophoretic_contrast,ambiguous_quantity;compound_phrase,指阴阳离子热泳行为差异，未定义为某一具体扩散系数差，需保留对象和粒度。,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",iTE:P0336:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0336:n3,P0336,iTE,ionic thermopower,performance,performance_function,ionic_thermopower,,作者的热电输出指标。,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",iTE:P0336:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0337:n1,P0337,iTE,host-guest complexation between alpha-CD and I3-,interaction,interaction,host_guest_complexation,object_specific,主客体络合明确限定 alpha-CD 与 I3-。,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",iTE:P0337:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0337:n2,P0337,iTE,confines the diffusion of I3-,mechanism,mechanism_process,restricted_iodide_species_diffusion,direction_in_label;predicate_in_label,节点含 confines 动词，表示 I3- 扩散受限，不等于完全固定。,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",iTE:P0337:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0337:n3,P0337,iTE,ion mobility difference between I3- and sodium ions,physical_consequence,quantity,ion_mobility_contrast,object_specific,I3- 与钠离子迁移率差异；不直接等同于热扩散差。,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",iTE:P0337:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0337:n4,P0337,iTE,ionic thermopower,performance,performance_function,ionic_thermopower,,最终热电性能指标。,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",iTE:P0337:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0338:n1,P0338,iTE,enriching oxygen-containing functional groups,material_strategy,design_strategy,functional_group_enrichment,joint_factor,增加含氧官能团是明确操作，与通道构造联合报告。,"In this work, by enriching oxygen-containing functional groups in the gel network and constructing oriented ionic transport nanochannels, an innovative approach is presented to reach long-term service and reusability for i-TEs without sacrificing their TE properties.",iTE:P0338:claim_block,Codex current session,model_proposed_pending_human,,,
