relation_id,domain,paper_id,subject,predicate,object,assertion_type,model_assessment,model_reason,quote,source_limitations,proposal_status,human_decision,human_reason
iTE:P0334:r001,iTE,P0334,number of rotatable bonds,negatively associated with,Seebeck coefficients,association,supported_as_reported,可解释模型报告描述符与 Seebeck 的负向关系，保留 association，不升级为机制因果。,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 描述符—性能关联，不把可解释模型的结果转成已证明的微观因果。描述符被五层 schema 勉强放入 physical_consequence，需增设 quantity_role=descriptor。",model_proposed_pending_human,,
iTE:P0334:r002,iTE,P0334,octanol-water partition coefficient of ions,negatively associated with,Seebeck coefficients,association,supported_as_reported,可解释模型报告描述符与 Seebeck 的负向关系，保留 association，不升级为机制因果。,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 描述符—性能关联，不把可解释模型的结果转成已证明的微观因果。描述符被五层 schema 勉强放入 physical_consequence，需增设 quantity_role=descriptor。",model_proposed_pending_human,,
iTE:P0335:r001,iTE,P0335,multi-ion coupling,improves,redox reaction entropy change,author_claim,qualification_needed,原文使用 improve，对反应熵不能无条件改成带符号数值增加；耦合的对象限定仍需随关系保留。,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留 improve 原意；不自动解释为熵的带符号数值必然增加。iTE 归属不排除氧化还原机制。",model_proposed_pending_human,,
iTE:P0335:r002,iTE,P0335,multi-ion coupling,improves,exchange current density,author_claim,qualification_needed,原文使用 improve，对反应熵不能无条件改成带符号数值增加；耦合的对象限定仍需随关系保留。,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留 improve 原意；不自动解释为熵的带符号数值必然增加。iTE 归属不排除氧化还原机制。",model_proposed_pending_human,,
iTE:P0335:r003,iTE,P0335,multi-ion coupling,improves,ionic conductivity,author_claim,qualification_needed,原文使用 improve，对反应熵不能无条件改成带符号数值增加；耦合的对象限定仍需随关系保留。,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留 improve 原意；不自动解释为熵的带符号数值必然增加。iTE 归属不排除氧化还原机制。",model_proposed_pending_human,,
iTE:P0336:r001,iTE,P0336,dual-interaction strategy,enhances,thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations,author_claim,supported_as_reported,原句给出双相互作用策略、热泳差异及热电势率的串联作者主张；不补出某个热扩散系数的数值变化。,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 双重相互作用需回看上文配位／疏水作用；不能仅凭此句细化对象或补出传递熵。",model_proposed_pending_human,,
iTE:P0336:r002,iTE,P0336,thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations,enables,ionic thermopower,author_claim,supported_as_reported,原句给出双相互作用策略、热泳差异及热电势率的串联作者主张；不补出某个热扩散系数的数值变化。,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 双重相互作用需回看上文配位／疏水作用；不能仅凭此句细化对象或补出传递熵。",model_proposed_pending_human,,
iTE:P0337:r001,iTE,P0337,host-guest complexation between alpha-CD and I3-,confines,confines the diffusion of I3-,author_claim,representation_review,客体节点已包含 confines，谓词又是 confines；语义可追溯，但表示时需区分扩散过程与其受限状态，不直接合并节点。,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 扩散受限不等于完全固定；保留 I3- 与 Na+ 的对象特异性。",model_proposed_pending_human,,
iTE:P0337:r002,iTE,P0337,confines the diffusion of I3-,enhances,ion mobility difference between I3- and sodium ions,author_claim,supported_as_reported,原文明确给出络合、扩散受限、迁移率差异与性能的顺序。,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 扩散受限不等于完全固定；保留 I3- 与 Na+ 的对象特异性。",model_proposed_pending_human,,
iTE:P0337:r003,iTE,P0337,ion mobility difference between I3- and sodium ions,boosts,ionic thermopower,author_claim,supported_as_reported,原文明确给出络合、扩散受限、迁移率差异与性能的顺序。,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 扩散受限不等于完全固定；保留 I3- 与 Na+ 的对象特异性。",model_proposed_pending_human,,
