title_norm,tg_year,ite_year,tg_title,ite_title,ite_source,tg_doi,ite_doi
3d hierarchical electrodes boosting ultrahigh power output for gelatin kcl fecn4 3 ionic thermoelectric cells,2022,2022,3D Hierarchical Electrodes Boosting Ultrahigh Power Output for Gelatin-KCl-FeCN4-/3- Ionic Thermoelectric Cells,3D Hierarchical Electrodes Boosting Ultrahigh Power Output for Gelatin-KCl-FeCN4-/3- Ionic Thermoelectric Cells,iTE1,10.1002/aenm.202103666,10.1002/aenm.202103666
a dual function poly vinyl alcohol hydrogel for solar water production and thermoelectric energy generation,2025,2025,A Dual-Function Poly(vinyl alcohol) Hydrogel for Solar Water Production and Thermoelectric Energy Generation,A Dual-Function Poly(vinyl alcohol) Hydrogel for Solar Water Production and Thermoelectric Energy Generation,iTE1,10.1021/acssuschemeng.4c10855,10.1021/acssuschemeng.4c10855
a multifunctional mxene pva hydrogel as a continuous ionic thermoelectric generator and a strain temperature sensor,2025,2025,A Multifunctional MXene/PVA Hydrogel as a Continuous Ionic Thermoelectric Generator and a Strain/Temperature Sensor,A Multifunctional MXene/PVA Hydrogel as a Continuous Ionic Thermoelectric Generator and a Strain/Temperature Sensor,iTE1,10.1002/smll.202407529,10.1002/smll.202407529
a n type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,2025,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,iTE1,10.1016/j.cej.2025.161288,10.1016/j.cej.2025.161288
a novel concentrated photovoltaic and ionic thermocells hybrid system for full spectrum solar cascade utilization,2024,2024,A novel concentrated photovoltaic and ionic thermocells hybrid system for full-spectrum solar cascade utilization,A novel concentrated photovoltaic and ionic thermocells hybrid system for full-spectrum solar cascade utilization,iTE1,10.1016/j.apenergy.2024.123033,10.1016/j.apenergy.2024.123033
achieving pseudo n type p type in series and parallel liquid thermoelectrics using all iron thermoelectrochemical cells with opposite seebeck coefficients,2016,2016,Achieving pseudo-'n-type p-type' in-series and parallel liquid thermoelectrics using all-iron thermoelectrochemical cells with opposite Seebeck coefficients,Achieving pseudo-'n-type p-type' in-series and parallel liquid thermoelectrics using all-iron thermoelectrochemical cells with opposite Seebeck coefficients,iTE2,10.1016/j.elecom.2016.10.001,10.1016/j.elecom.2016.10.001
antisolvent engineering enhanced high entropy liquid flow thermocells with giant power densities for low grade heat harvesting,2026,2026,Antisolvent engineering enhanced high-entropy liquid flow thermocells with giant power densities for low-grade heat harvesting,Antisolvent engineering enhanced high-entropy liquid flow thermocells with giant power densities for low-grade heat harvesting,iTE1,10.1039/d5ee04880j,10.1039/d5ee04880j
aqueous thermogalvanic cells with a high seebeck coefficient for low grade heat harvest,2018,2018,Aqueous thermogalvanic cells with a high Seebeck coefficient for low-grade heat harvest,Aqueous thermogalvanic cells with a high Seebeck coefficient for low-grade heat harvest,iTE2,10.1038/s41467-018-07625-9,10.1038/s41467-018-07625-9
bioinspired double layer thermogalvanic cells with engineered ionic gradients for high efficiency waste heat recovery,2025,2025,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,iTE1,10.1016/j.nanoen.2025.111189,10.1016/j.nanoen.2025.111189
can charged colloidal particles increase the thermoelectric energy conversion efficiency,2017,2017,Can charged colloidal particles increase the thermoelectric energy conversion efficiency?,Can charged colloidal particles increase the thermoelectric energy conversion efficiency?,iTE1,10.1039/c7cp01023k,10.1039/c7cp01023k
