mention_id,paper_id,domain,raw_phrase,proposed_semantic_role,quote,evidence_scope,decision_source,annotation_status,human_decision,human_role,human_reason
iTE:P0334:n1,P0334,iTE,number of rotatable bonds,descriptor,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0334:n2,P0334,iTE,octanol-water partition coefficient of ions,descriptor,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0334:n3,P0334,iTE,Seebeck coefficients,performance_function,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0335:n1,P0335,iTE,multi-ion coupling,interaction,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",original_quote_rechecked,role_review_v2.json,model_proposed_pending_human,,,
iTE:P0335:n2,P0335,iTE,redox reaction entropy change,quantity,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0335:n3,P0335,iTE,exchange current density,quantity,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0335:n4,P0335,iTE,ionic conductivity,quantity,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0336:n1,P0336,iTE,dual-interaction strategy,design_strategy,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0336:n2,P0336,iTE,thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations,quantity,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",full_abstract_and_quote,role_review_v2.json,model_proposed_pending_human,,,
iTE:P0336:n3,P0336,iTE,ionic thermopower,performance_function,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
