joint_factor_group,domain,paper_id,joint_concept_id,members_text,origin_relation_id,interpretation
joint:TG:P0015:6d6fcbc5061662ff871d,TG,P0015,concept:v2:TG:supp:160a0e64e14ff6d98a50,stretching-induced crystallization + thermoelectric-effect integrated design,TG:P0015:r001,joint assertion only; no independently established individual effects
joint:TG:P0012:0a9b6c21bd478a333c9e,TG,P0012,concept:v2:TG:supp:4891ac16ccefc6c781c8,thermoelectricity + active piezoresistivity,TG:P0012:r002,joint assertion only; no independently established individual effects
joint:TG:P0116:7aa38ff1848a7cc12256,TG,P0116,concept:v2:TG:supp:a1e621de4090ac2879d4,temperature-gradient distillation + temperature-dependent NaOH solubility,TG:P0116:r001,joint assertion only; no independently established individual effects
joint:TG:P0165:ff6901cf05bf294ecb63,TG,P0165,concept:v2:TG:supp:ca51735a435b25a62a6a,3D skeleton + abundant electroactive sites + high conductivity,TG:P0165:r002,joint assertion only; no independently established individual effects
joint:TG:P0173:856fdb785b1c29c50041,TG,P0173,concept:v2:TG:supp:2ed5df416eaaa97ca540,thermogalvanic effect + electrochemical potential,TG:P0173:r001,joint assertion only; no independently established individual effects
joint:iTE:P0386:8a353853f7119a509fd7,iTE,P0386,concept:v2:iTE:supp:26e0111aa3501b275768,i-TE conversion + NERD,iTE:P0386:r002,joint assertion only; no independently established individual effects
joint:iTE:P0408:9747c05ffd7c6b46d741,iTE,P0408,concept:v2:iTE:supp:2c7d3fb4cfc46b77990f,covalent cross-linked polymer network + electrode-dependent effect under ion-size difference,iTE:P0408:r003,joint assertion only; no independently established individual effects
joint:iTE:P0596:a2911ef40d3e159435c0,iTE,P0596,concept:v2:iTE:supp:dc60519878babb0fdb03,bond softening + multiscale hierarchical structures,iTE:P0596:r004,joint assertion only; no independently established individual effects
joint:iTE:P0670:aab277cfa938bd0f1847,iTE,P0670,concept:v2:iTE:supp:bc70f93cdec7f56943ba,photo-polymerization + hydrogen-bonding networks,iTE:P0670:r001,joint assertion only; no independently established individual effects
joint:iTE:P0915:91c63984b05deffdf4c0,iTE,P0915,concept:v2:iTE:supp:4c2765f12bba89c1f7eb,electronic Seebeck effect + ionic Seebeck effect + mixed ion-electron conduction in elastic aerogel,iTE:P0915:r002,joint assertion only; no independently established individual effects
joint:iTE:P0932:8371295e62b660ff3fee,iTE,P0932,concept:v2:iTE:supp:d42b7ed4f2ed2c194065,PSS separation + benzoid-to-quinoid PEDOT conformational change,iTE:P0932:r001,joint assertion only; no independently established individual effects
joint:iTE:P1276:a555a882f4e661f3632e,iTE,P1276,concept:v2:iTE:supp:c5d966d93dc2de883bcc,anisotropic phonon group velocity + intrinsic structure anisotropy,iTE:P1276:r001,joint assertion only; no independently established individual effects
joint:iTE:P1500:1664d7a1d32df26f83f8,iTE,P1500,concept:v2:iTE:supp:67f8ba03f5acc0d9104e,high doping level + high structural order,iTE:P1500:r003,joint assertion only; no independently established individual effects
joint:iTE:P1595:009a5422f7d74aeed314,iTE,P1595,concept:v2:iTE:supp:bcf7d600664ff588e3b1,anharmonic anisotropic Cu vibration + ionic bonds around Cu + global weak bonding,iTE:P1595:r001,joint assertion only; no independently established individual effects
joint:iTE:P1653:cd62ac1c29cb0809bd3d,iTE,P1653,concept:v2:iTE:supp:15be756b4d6e69d9cc4d,higher excess volume + weaker Sr-O bonds,iTE:P1653:r002,joint assertion only; no independently established individual effects
joint:iTE:P1680:69f2f6d4bc0a4ce8b211,iTE,P1680,concept:v2:iTE:supp:372b534bd78d69844ebf,additional Cu ion conduction + optimization of n-type carrier density,iTE:P1680:r002,joint assertion only; no independently established individual effects
joint:iTE:P1862:f48c5ef43347c5f5cb0f,iTE,P1862,concept:v2:iTE:supp:0c3ac6545778063d8750,external electric field + vector charge transfer + gradient energy band,iTE:P1862:r001,joint assertion only; no independently established individual effects
joint:TG:P0286:6f6608a0b6c19807968f,TG,P0286,concept:v2:TG:supp:b226a80351ad4118e594,well-developed pore structure + nitrogen doping,TG:P0286:r001,joint assertion only; no independently established individual effects
joint:TG:P0289:abb062c7f30cf0185364,TG,P0289,concept:v2:TG:supp:a529e92e54c58925c815,high electrochemically accessible surface area + fast redox-mediated electron transfer,TG:P0289:r002,joint assertion only; no independently established individual effects
joint:TG:P0291:9de680faa564be2500f0,TG,P0291,concept:v2:TG:supp:83b6d79bd8b4d6356d44,redox-couple concentration optimization + hot/cold electrode separation optimization,TG:P0291:r002,joint assertion only; no independently established individual effects
