claim_record_id,origin_relation_id,domain,paper_id,subject_concept_id,predicate,object_concept_id,assertion_type,evidence_modality,quote,analysis_scope,review_status,active_reviewed_claim,main_analysis_eligible,joint_factor_group,joint_factors_text,conditions_evidence,condition_encoding,reference_links,limitation_note,source_abstract_sha256
iTE:P0334:r001,iTE:P0334:r001,iTE,P0334,concept:v2:iTE:856bbd1ec67de644bada,negatively associated with,concept:v2:iTE:a5a8952bd5cf6d9878a4,association,not_reclassified,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.",scope_unreviewed,source_extraction_not_individually_accepted,False,False,,,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.",source_quote_preserved_not_fully_structured,[],,b7334d5fc8e467afe2503c38980db62905bc1ba797b9efed9d7357519e104dc1
iTE:P0334:r002,iTE:P0334:r002,iTE,P0334,concept:v2:iTE:72e5daaf7f5c96d5c2a7,negatively associated with,concept:v2:iTE:a5a8952bd5cf6d9878a4,association,not_reclassified,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.",scope_unreviewed,source_extraction_not_individually_accepted,False,False,,,"Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations.",source_quote_preserved_not_fully_structured,[],,b7334d5fc8e467afe2503c38980db62905bc1ba797b9efed9d7357519e104dc1
iTE:P0335:r001,iTE:P0335:r001,iTE,P0335,concept:v2:iTE:a6dcf25cb3fb327410e0,improves,concept:v2:iTE:fafca429227d2fbee096,author_claim,not_reclassified,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",scope_unreviewed,source_extraction_not_individually_accepted,False,False,,,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",source_quote_preserved_not_fully_structured,[],,efa918a200a0f0a0c2eee5e4b7819751ff5fb45b7d649e06cfa6cb7c8b9e06c2
iTE:P0335:r002,iTE:P0335:r002,iTE,P0335,concept:v2:iTE:a6dcf25cb3fb327410e0,improves,concept:v2:iTE:a67ef5feb6acfc540341,author_claim,not_reclassified,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",scope_unreviewed,source_extraction_not_individually_accepted,False,False,,,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",source_quote_preserved_not_fully_structured,[],,efa918a200a0f0a0c2eee5e4b7819751ff5fb45b7d649e06cfa6cb7c8b9e06c2
iTE:P0335:r003,iTE:P0335:r003,iTE,P0335,concept:v2:iTE:a6dcf25cb3fb327410e0,improves,concept:v2:iTE:9cc5f26cd66f7e979761,author_claim,not_reclassified,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",scope_unreviewed,source_extraction_not_individually_accepted,False,False,,,"The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels.",source_quote_preserved_not_fully_structured,[],,efa918a200a0f0a0c2eee5e4b7819751ff5fb45b7d649e06cfa6cb7c8b9e06c2
iTE:P0336:r001,iTE:P0336:r001,iTE,P0336,concept:v2:iTE:9add429034925aaf3140,enhances,concept:v2:iTE:22b6104cdba92b558949,author_claim,not_reclassified,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",scope_unreviewed,source_extraction_not_individually_accepted,False,False,,,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",source_quote_preserved_not_fully_structured,[],,a1fffe0d882e172020b3ed29a83744b6f7be71af651e8a40c35ee285897c423e
iTE:P0336:r002,iTE:P0336:r002,iTE,P0336,concept:v2:iTE:22b6104cdba92b558949,enables,concept:v2:iTE:a5a8952bd5cf6d9878a4,author_claim,not_reclassified,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",scope_unreviewed,source_extraction_not_individually_accepted,False,False,,,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",source_quote_preserved_not_fully_structured,[],,a1fffe0d882e172020b3ed29a83744b6f7be71af651e8a40c35ee285897c423e
iTE:P0337:r001,iTE:P0337:r001,iTE,P0337,concept:v2:iTE:9e8308a77114379613ff,confines,concept:v2:iTE:fc9377a34350ade624f4,author_claim,not_reclassified,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",scope_unreviewed,source_extraction_not_individually_accepted,False,False,,,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",source_quote_preserved_not_fully_structured,[],,d8605bce09b31bed94feda6f38f1513797fb0d224e57b38b72b43afad7de7e26
iTE:P0337:r002,iTE:P0337:r002,iTE,P0337,concept:v2:iTE:fc9377a34350ade624f4,enhances,concept:v2:iTE:d8b8e5879d601d112efb,author_claim,not_reclassified,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",scope_unreviewed,source_extraction_not_individually_accepted,False,False,,,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",source_quote_preserved_not_fully_structured,[],,d8605bce09b31bed94feda6f38f1513797fb0d224e57b38b72b43afad7de7e26
iTE:P0337:r003,iTE:P0337:r003,iTE,P0337,concept:v2:iTE:d8b8e5879d601d112efb,boosts,concept:v2:iTE:a5a8952bd5cf6d9878a4,author_claim,not_reclassified,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",scope_unreviewed,source_extraction_not_individually_accepted,False,False,,,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",source_quote_preserved_not_fully_structured,[],,d8605bce09b31bed94feda6f38f1513797fb0d224e57b38b72b43afad7de7e26
