group_index,interpretation,judge_disposition,judge_reason,canonical_role_rewritten,required_human_review
22,电子/离子载流极性,same_referent_used_in_different_source_roles,保留离子负热响应与电子n型两类。电子子组中的conduction/conductivity在原句均用于判别载流子类型，不表示数值电导率；旧角色差异不能直接推出不同概念。,False,False
28,载流极性属性,same_referent_used_in_different_source_roles,p-type在CNT句中是材料的载流类型修饰语，不是CNT实体本身。其余p型特征同样指空穴占优；明确Cs2CdZnCl6对象及全温区保持的限定继续分开。,False,False
35,温度梯度与温差待定边界,revised_or_retained_uncertain,修订：TG:P0118的30°C是电极极性转折的临界温度，不是两端温差。将该节点从DeltaT分区拆出待定；DeltaT仍仅含明确温差定义的1/4/5。,False,False
38,有方向的载流类型变化,same_referent_used_in_different_source_roles,保留负到正离子热响应、电子n到p转换以及无固定方向的符号反转。state_structure与process来自标注视角，原句的方向性转变相同。,False,False
42,晶格几何量,same_referent_used_in_different_source_roles,晶格参数/晶格常数同属周期几何量；P1644把同一量作为descriptor，不改变物理定义。维数、晶系和数值仍在来源中，未并入晶胞体积。,False,False
68,离子交换过程,same_referent_used_in_different_source_roles,ion exchange与ionic exchange均指离子交换过程，作为制备策略不改变操作定义。spontaneous另有自发条件，继续单独保留。,False,False
74,n型掺杂操作,same_referent_used_in_different_source_roles,n-doping均指造成n型载流行为的掺杂；方法、过程角色可对应同一操作。预测与已报告的情态应留在关系层，不能因此把预测说成实验验证。,False,False
81,符号变化事件,same_referent_used_in_different_source_roles,switch/sign change均为符号变化；sign本身是属性。保留属性与事件边界，不因原文有reverse而覆盖节点所取的属性范围。,False,False
106,PEDOT定向构象变化,same_referent_used_in_different_source_roles,三句均明确PEDOT benzoid/benzenoid到quinoid的构象变化；第三句虽标state_structure，原文modifies ... from ... to仍有相同起止方向。,False,False
149,热通量,same_referent_used_in_different_source_roles,两句均为穿过电池的热通量，作为输入条件与被研究物理量是使用角色差异；没有证据将其改成热导率。,False,False
152,离子浓度,same_referent_used_in_different_source_roles,两个节点均指可调离子浓度这一量，variable是实验所改变的参数；不把浓度归一化为红氧反应或浓度反转事件。,False,False
155,嵌锂状态参数,same_referent_used_in_different_source_roles,lithiation state与嵌锂程度x均指嵌锂状态参数，原文讨论系数对嵌锂程度的依赖，不是插入速率。,False,False
194,高掺杂定义待定,revised_or_retained_uncertain,修订为待定：CaAg0.9P抑制双极输运的高掺杂与N2200聚合物的高掺杂，未给出共同掺杂量定义或高值阈值；不能因high doping同名接受。,False,False
208,阳离子交换过程,same_referent_used_in_different_source_roles,两处均以阳离子交换辅助n型掺杂，设计策略和微观过程标注不改变交换操作；BBL与N2200对象保留在证据层。,False,False
220,氧分压降低操作,same_referent_used_in_different_source_roles,两句均明确降低氧分压的方向；外部条件变化与实验调控策略可归同一操作，但不与氧空位浓度合并。,False,False
260,离子选择性属性,same_referent_used_in_different_source_roles,两处指离子输运选择性这一属性，性能/数量角色不改变概念。此处只接受定性属性类型，不断言不同选择性指标具有相同计算公式。,False,False
280,输运行为变化,same_referent_used_in_different_source_roles,两文均为组成变化下金属到半导体输运行为的变化；不把第二篇gradual变化改成尖锐相变，保留行为转变这一共同层次。,False,False
335,收缩几何范围待定,revised_or_retained_uncertain,修订为待定：一侧明确晶胞体积收缩，另一侧只说lattice contraction策略；完整摘要未给出体积或各轴条件，不能断言几何范围严格等价。,False,False
